row_label_raw,row_label_full,col_0,Ngàn VNDGiá trị,numeric__Ngàn VNDGiá trị
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.013.468.551,3013468551.0
Mua công ty con (TM số 4),Nguyên giá > Mua công ty con (TM số 4),Mua công ty con (TM số 4),1.072.826.622,1072826622.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,4.086.295.173,4086295173.0
Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,Giá trị phân bổ lũy kế,
Số đầu năm,Giá trị phân bổ lũy kế > Số đầu năm,Số đầu năm,(474.830.255),-474830255.0
Phân bổ trong năm,Giá trị phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(390.318.070),-390318070.0
Số cuối năm,Giá trị phân bổ lũy kế > Số cuối năm,Số cuối năm,(865.148.325),-865148325.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.538.638.296,2538638296.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.221.146.848,3221146848.0
