row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
"Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang","Chi phí sản xuất, kinh doanh dở dang",1.062.575.678,837.389.494,1062575678.0,837389494.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hoạt động xây dựng (i),Trong đó: > Hoạt động xây dựng (i),Hoạt động xây dựng (i),629.555.879,610.961.724,629555879.0,610961724.0
Hoạt động sản xuất,Trong đó: > Hoạt động sản xuất,Hoạt động sản xuất,428.160.396,111.137.954,428160396.0,111137954.0
Chi phí nuôi bò thịt,Trong đó: > Chi phí nuôi bò thịt,Chi phí nuôi bò thịt,4.859.403,111.197.997,4859403.0,111197997.0
Cung cấp dịch vụ,Trong đó: > Cung cấp dịch vụ,Cung cấp dịch vụ,-,4.091.819,,4091819.0
Nguyên vật liệu,Trong đó: > Nguyên vật liệu,Nguyên vật liệu,172.407.850,134.446.820,172407850.0,134446820.0
Thành phẩm,Trong đó: > Thành phẩm,Thành phẩm,55.406.832,15.814.079,55406832.0,15814079.0
"Công cụ, dụng cụ","Trong đó: > Công cụ, dụng cụ","Công cụ, dụng cụ",47.088.667,7.955.419,47088667.0,7955419.0
Căn hộ sẵn sàng để bán (ii),Trong đó: > Căn hộ sẵn sàng để bán (ii),Căn hộ sẵn sàng để bán (ii),36.395.297,76.898.171,36395297.0,76898171.0
Hàng hóa,Trong đó: > Hàng hóa,Hàng hóa,35.320.022,40.553.412,35320022.0,40553412.0
Vật liệu xây dựng,Trong đó: > Vật liệu xây dựng,Vật liệu xây dựng,-,13.440.800,,13440800.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.409.194.346,1.126.498.195,1409194346.0,1126498195.0
Dự phòng giảm giá hàng tồn kho,Trong đó: > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(11.970.940),(7.645.680),-11970940.0,-7645680.0
GIÁ TRỊ THUÀN,Trong đó: > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.397.223.406,1.118.852.515,1397223406.0,1118852515.0
