row_label_raw,row_label_full,24. VAY (tiếp theo),24. VAY (tiếp theo)_1,24. VAY (tiếp theo)_2,24. VAY (tiếp theo)_3,24. VAY (tiếp theo)_4,24. VAY (tiếp theo)_5,24. VAY (tiếp theo)_6,numeric__24. VAY (tiếp theo)_1,numeric__24. VAY (tiếp theo)_2,numeric__24. VAY (tiếp theo)_3,numeric__24. VAY (tiếp theo)_4,numeric__24. VAY (tiếp theo)_5,numeric__24. VAY (tiếp theo)_6
24.3 Trái phiếu thường (tiếp theo),24.3 Trái phiếu thường (tiếp theo),24.3 Trái phiếu thường (tiếp theo),24.3 Trái phiếu thường (tiếp theo),24.3 Trái phiếu thường (tiếp theo),24.3 Trái phiếu thường (tiếp theo),24.3 Trái phiếu thường (tiếp theo),24.3 Trái phiếu thường (tiếp theo),24.3 Trái phiếu thường (tiếp theo),,,,,,
Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Trái chủ,Số tiền (Ngàn VND),Lãi suất (%/năm),Ngày đáo hạn,Mục đích,"Tài sản thế chấp (TM số 11, 12, 13 và 14)",,,,,,
PHUGIA SC,Tổ chức thu xếp phát hành > PHUGIA SC,PHUGIA SC,Ngân hàngThương mạiCổ phầnPhát triểnTP.HCM -Chi nhánhSở giao dịchĐồng Nai,930.000.000,"Lãi suất điều chỉnh 3 tháng một lần và bằng chi phí vốn VND 12 tháng do Ngân hàng TMCP Phát triển TP.HCM công với biên độ 3,50 (2018: 10,00 - 11,00)",Ngày 31 tháng 12 năm 2023,Bổ sung vốn cho các dự án đầu tư và tái cấu trúc nợ vay của Tập đoàn,74.070.455 cổ phiếu HNG thuộc sở hữu của Công ty; 10.800.000 cổ phiếu HAG thuộc sở hữu của Chủ tịch HĐQT; 196.368.900 cổ phần HAN thuộc sở hữu của Công ty.,,930000000.0,,,,
FPTS và VPB,Tổ chức thu xếp phát hành > FPTS và VPB,FPTS và VPB,VPB,594.000.000,"Bằng lãi suất tiền gửi tiết kiệm bằng VND đối với cá nhân kỳ hạn 12 tháng trả lãi cuối kỳ của VPB được xác định tại ngày xác định LS cộng biên độ 4,00 (2018: 10,50 - 11,40)",Ngày 27 tháng 12 năm 2021,"Dự án chăn nuôi bò thịt tại Xã la Băng, Huyện Chư Prông, Tĩnh Gia Lai, Việt Nam cho Công ty Bò sữa Tây Nguyên, là công ty con, dưới hình thức hợp tác đầu tư","196.368.900 cổ phần HAN sở hữu bởi Công ty; Tài sản hình thành từ công trình xây dựng Khu Phúc Hợp Hoàng Anh Myanmar và vốn góp 51 triệu USD của HAN vào HAGL Myanmar; 225.970.000 cổ phần của DHA; 166.345.440 cổ phiếu HNG thuộc sở hữu của Công ty; 19.940.000 cổ phần của HNG tại Công ty Cổ phần Đông Pênh và Dự án 7.376,08 ha cọ đầu của Công ty TNHH MTV Daun Penh Agrico tại Xã Chey Ou Dom, Huyện Lumphat, Tĩnh Ratanakiri, Campuchia.",,594000000.0,,,,
Trong đó:Trái phiếu dài hạnđến hạn trảTrái phiếu dài hạn,Tổ chức thu xếp phát hành > Trong đó:Trái phiếu dài hạnđến hạn trảTrái phiếu dài hạn,Trong đó:Trái phiếu dài hạnđến hạn trảTrái phiếu dài hạn,,114.000.000480.000.000,,,,,,1.1400000048e+17,,,,
