row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Chi phí phát triển vườn cây cao su,Chi phí phát triển vườn cây cao su,Chi phí phát triển vườn cây cao su,5.957.078.605,7.960.502.432,5957078605.0,7960502432.0
Chi phí phát triển vườn cây cọ dầu,Chi phí phát triển vườn cây cọ dầu,Chi phí phát triển vườn cây cọ dầu,3.523.865.660,3.348.265.882,3523865660.0,3348265882.0
Nhà máy thủy điện (*),Nhà máy thủy điện (*),Nhà máy thủy điện (*),3.379.400.885,3.385.682.060,3379400885.0,3385682060.0
Chi phí phát triển vườn cây ăn quả,Chi phí phát triển vườn cây ăn quả,Chi phí phát triển vườn cây ăn quả,2.929.781.057,1.703.067.342,2929781057.0,1703067342.0
Nhà xuống và nhà máy nông trường,Nhà xuống và nhà máy nông trường,Nhà xuống và nhà máy nông trường,917.377.456,687.226.986,917377456.0,687226986.0
Chi phí đào tạo học viên bóng đá,Chi phí đào tạo học viên bóng đá,Chi phí đào tạo học viên bóng đá,,,,
HAGL - Arsenal JMG,Chi phí đào tạo học viên bóng đá > HAGL - Arsenal JMG,HAGL - Arsenal JMG,56.679.237,53.432.133,56679237.0,53432133.0
Chi phí phát triển vườn tiêu,Chi phí đào tạo học viên bóng đá > Chi phí phát triển vườn tiêu,Chi phí phát triển vườn tiêu,30.405.295,114.959.517,30405295.0,114959517.0
Chi phí dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,Chi phí đào tạo học viên bóng đá > Chi phí dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,Chi phí dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,-,351.086.244,,351086244.0
Chi phí dự án bò,Chi phí đào tạo học viên bóng đá > Chi phí dự án bò,Chi phí dự án bò,-,6.617.792,,6617792.0
Khác,Chi phí đào tạo học viên bóng đá > Khác,Khác,116.204.705,139.280.504,116204705.0,139280504.0
TỔNG CỘNG,Chi phí đào tạo học viên bóng đá > TỔNG CỘNG,TỔNG CỘNG,16.910.792.900,17.750.120.892,16910792900.0,17750120892.0
