row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu (%),Số cuối năm > Giá trị đầu tư Ngân VND,Số đầu năm > Tỷ lệ sở hữu (%),Số đầu năm > Giá trị đầu tư Ngân VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Giá trị đầu tư Ngân VND,numeric__Số đầu năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Giá trị đầu tư Ngân VND
HAN,HAN,HAN,Bất động sản,"47,89",2.500.883.911,-,-,,47.89,2500883911.0,,
Công ty Cổ phần Cao su Bidiphar (*),Công ty Cổ phần Cao su Bidiphar (*),Công ty Cổ phần Cao su Bidiphar (*),Trồng cây cao su,"49,14",263.399.088,"49,14",265.778.583,,49.14,263399088.0,49.14,265778583.0
Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Tư vấn và thiết kế,"25,00",7.609.521,"25,00",7.609.521,,25.0,7609521.0,25.0,7609521.0
CNGL (**),CNGL (**),CNGL (**),Chăn nuôi và cây ăn quả,-,-,"23,46",573.944.413,,,,23.46,573944413.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,2.771.892.520,,847.332.517,,,2771892520.0,,847332517.0
