row_label_raw,row_label_full,Số đầu năm > Tăng giá trị đầu tư,856.553.911 > 2.429.842.267,numeric__856.553.911 > 2.429.842.267
Thanh lý,Thanh lý,Thanh lý,(589.200.000),-589200000.0
Số cuối năm,Số cuối năm,Số cuối năm,2.697.196.178,2697196178.0
