row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Trụ sở,Tình trạng hoạt động,Tỷ lệ sở hữu (%),numeric__Tên công ty con_1,numeric__Trụ sở,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu (%)
Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,,,,
(29),Lĩnh vực khai khoáng > (29),(29),Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,"Gia Lai, Việt Nam",Ngưng hoạt động,"99,40",,,,99.4
(30),Lĩnh vực khai khoáng > (30),(30),Công ty TNHH MTV Khoáng sản Hoàng Anh GL - Kontum,"Kontum, Việt Nam",Ngưng hoạt động,"99,40",,,,99.4
(31),Lĩnh vực khai khoáng > (31),(31),Công ty TNHH Khoáng sản Hoàng Anh Xêkông,"Attapeu, Lào",Ngưng hoạt động,"99,40",,,,99.4
"Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ",,,,
(32),"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (32)",(32),Công ty Cổ phần Thẻ thao Hoàng Anh Gia Lai,"Gia Lai, Việt Nam",Đang hoạt động,"69,85",,,,69.85
(33),"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (33)",(33),Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,"Gia Lai, Việt Nam",Đang hoạt động,"99,00",,,,99.0
(34),"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (34)",(34),Công ty TNHH V&H Corporation,"Viêng Chăn, Lào",Trước hoạt động,"100,00",,,,100.0
(35),"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (35)",(35),Công ty TNHH V&H Corporation (Lào),"Viêng Chăn, Lào",Trước hoạt động,"80,00",,,,80.0
(36),"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (36)",(36),Công ty TNHH Hoàng Anh Gia Lai Vientiane,"Viêng Chăn, Lào",Trước hoạt động,"100,00",,,,100.0
