row_label_raw,row_label_full,col_0,Bất động sản,Sản xuất,Thương mại và dịch vụ,Xây dựng,Nông nghiệp,Năng lượng,Loại trừ,Ngân VND Tổng cộng,numeric__Bất động sản,numeric__Sản xuất,numeric__Thương mại và dịch vụ,numeric__Xây dựng,numeric__Nông nghiệp,numeric__Năng lượng,numeric__Loại trừ,numeric__Ngân VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,,,,,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,567.372.089,470.270.787,406.544.334,22.667.344,3.921.345.846,-,-,5.388.200.400,567372089.0,470270787.0,406544334.0,22667344.0,3921345846.0,,,5388200400.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,-,427.371.708,66.985.430,-,982.375.852,-,(1.476.732.990),-,,427371708.0,66985430.0,,982375852.0,,-1476732990.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,567.372.089,897.642.495,473.529.764,22.667.344,4.903.721.698,-,(1.476.732.990),5.388.200.400,567372089.0,897642495.0,473529764.0,22667344.0,4903721698.0,,-1476732990.0,5388200400.0
Kết quả của bộ phận,Doanh thu > Kết quả của bộ phận,Kết quả của bộ phận,301.161.009,310.474.238,38.503.195,(2.798.549),1.727.365.281,-,-,2.374.705.174 (2.074.963.839),301161009.0,310474238.0,38503195.0,-2798549.0,1727365281.0,,,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,,,,,,,,,,
"Lãi trước thuế, thu nhập","Chi phí không phân bổ > Lãi trước thuế, thu nhập","Lãi trước thuế, thu nhập",,,,,,,,299.741.335,,,,,,,,299741335.0
tài chính và chi phí tài chính,Chi phí không phân bổ > tài chính và chi phí tài chính,tài chính và chi phí tài chính,,,,,,,,1.404.799.179,,,,,,,,1404799179.0
Thu nhập tài chính,Chi phí không phân bổ > Thu nhập tài chính,Thu nhập tài chính,,,,,,,,(1.721.684.164),,,,,,,,-1721684164.0
Chi phí tài chính,Chi phí không phân bổ > Chi phí tài chính,Chi phí tài chính,,,,,,,,64.840.488,,,,,,,,64840488.0
Lãi từ công ty liên kết,Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,,,,,,,,,,,,
Lợi nhuận trước thuế,Lãi từ công ty liên kết > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,47.696.838,,,,,,,,47696838.0
Thuế TNDN hiện hành,Lãi từ công ty liên kết > Thuế TNDN hiện hành,Thuế TNDN hiện hành,,,,,,,,(2.998.375),,,,,,,,-2998375.0
Chi phí thuế TNDN hoãn lại,Lãi từ công ty liên kết > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,(38.454.058),,,,,,,,-38454058.0
Lợi nhuận sau thuế TNDN trong năm,Lãi từ công ty liên kết > Lợi nhuận sau thuế TNDN trong năm,Lợi nhuận sau thuế TNDN trong năm,,,,,,,,6.244.405,,,,,,,,6244405.0
