row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Ngàn VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Cho vay ngắn hạn bên liên quan (TM số 34.2),Ngắn hạn > Cho vay ngắn hạn bên liên quan (TM số 34.2),Cho vay ngắn hạn bên liên quan (TM số 34.2),(i),633.710.952,3.754.961.320,,633710952.0,3754961320.0
Cho vay ngắn hạn các bên khác,Ngắn hạn > Cho vay ngắn hạn các bên khác,Cho vay ngắn hạn các bên khác,(ii),91.177.884,214.816.226,,91177884.0,214816226.0
,,,,724.888.836,3.969.777.546,,724888836.0,3969777546.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,
Cho vay dài hạn bên liên quan (TM số 34.2),Dài hạn > Cho vay dài hạn bên liên quan (TM số 34.2),Cho vay dài hạn bên liên quan (TM số 34.2),(i),6.130.524.711,7.512.960.946,,6130524711.0,7512960946.0
Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,Dài hạn > Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,(iii),15.020.312,169.589.065,,15020312.0,169589065.0
Cho vay dài hạn các bên khác,Dài hạn > Cho vay dài hạn các bên khác,Cho vay dài hạn các bên khác,(ii),42.880.908,269.428.797,,42880908.0,269428797.0
,,,,6.188.425.931,7.951.978.808,,6188425931.0,7951978808.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.913.314.767,11.921.756.354,,6913314767.0,11921756354.0
