row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc (*)","Máy móc,thiết bị",Phương tiệnvận chuyển,Thiết bịvăn phòng,Vật nuôi và câytrồng lâu năm,Tài sản khác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc (*)","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Vật nuôi và câytrồng lâu năm,numeric__Tài sản khác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.675.785.086,565.879.747,2.207.365.851,11.010.445,4.504.508.861,52.727.011,10.017.277.001,2675785086.0,565879747.0,2207365851.0,11010445.0,4504508861.0,52727011.0,10017277001.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,77.189.804,465.956,79.575.789,115.066,3.401.082.256,-,3.558.428.871,77189804.0,465956.0,79575789.0,115066.0,3401082256.0,,3558428871.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,32.246.130,67.388.064,26.217.873,271.532,-,3.253.177,129.376.776,32246130.0,67388064.0,26217873.0,271532.0,,3253177.0,129376776.0
Mua công ty con,Nguyên giá > Mua công ty con,Mua công ty con,429.308.183,5.049.377,98.314.180,-,-,-,532.671.740,429308183.0,5049377.0,98314180.0,,,,532671740.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,14.751.888,3.651.069,14.298.612,17.655.280,(42.427.695),928.476,8.857.630,14751888.0,3651069.0,14298612.0,17655280.0,-42427695.0,928476.0,8857630.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(33.660.416),(36.437.874),(18.461.392),(425.536),(418.773.360),-,(507.758.578),-33660416.0,-36437874.0,-18461392.0,-425536.0,-418773360.0,,-507758578.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,(1.077.446.647),(24.083.506),(33.015.942),(21.381.331),-,(2.272.710),(1.158.200.136),-1077446647.0,-24083506.0,-33015942.0,-21381331.0,,-2272710.0,-1158200136.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(20.230.786),(1.592.631),(873.232),-,(16.094.001),(1.002.440),(39.793.090),-20230786.0,-1592631.0,-873232.0,,-16094001.0,-1002440.0,-39793090.0
Phân loại lại từ hàng tồn kho,Nguyên giá > Phân loại lại từ hàng tồn kho,Phân loại lại từ hàng tồn kho,-,-,-,-,41.436.783,-,41.436.783,,,,,41436783.0,,41436783.0
