row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),,,,
Nhóm An Phú (*),Phải thu ngắn hạn của khách hàng (TM số 6) > Nhóm An Phú (*),Nhóm An Phú (*),Các công ty liên quan,(*),200.544.787,496.649.239,,,200544787.0,496649239.0
Công ty TNHH Dịch vụ Nông Nghiệp Tây Nguyên,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty TNHH Dịch vụ Nông Nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông Nghiệp Tây Nguyên,Công ty liên quan,Bán hàng hóa và cung cấp dịch vụ,71.906.750,40.079.827,,,71906750.0,40079827.0
Công ty Cổ phần Nông lâm nghiệp Cánh Đồng Vàng,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty Cổ phần Nông lâm nghiệp Cánh Đồng Vàng,Công ty Cổ phần Nông lâm nghiệp Cánh Đồng Vàng,Công ty liên quan,Bán hàng hóa và cung cấp dịch vụ,30.370.320,-,,,30370320.0,
Công ty TNHH MTV Xây lắp điện,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty TNHH MTV Xây lắp điện,Công ty TNHH MTV Xây lắp điện,Công ty liên quan,Bán hàng hóa Cung cấp dịch vụ xây dựng,382.628,3.628.478,,,382628.0,3628478.0
Công ty TNHH MTV Xây lắp điện,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty TNHH MTV Xây lắp điện,Công ty TNHH MTV Xây lắp điện,Công ty liên quan,Bán hàng hóa Cung cấp dịch vụ xây dựng,-,65.325.049,,,,65325049.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (**),Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (**),Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (**),Công ty con,Bán hàng hóa và cung cấp dịch vụ,-,20.756.431,,,,20756431.0
Công ty Cổ phần Hoàng Anh Ban Mê,Phải thu ngắn hạn của khách hàng (TM số 6) > Công ty Cổ phần Hoàng Anh Ban Mê,Công ty Cổ phần Hoàng Anh Ban Mê,Công ty liên quan,Bán hàng hóa,-,11.456.776,,,,11456776.0
Các bên liên quan khác,Phải thu ngắn hạn của khách hàng (TM số 6) > Các bên liên quan khác,Các bên liên quan khác,,Bán hàng hóa và cung cấp dịch vụ,3.941.066,3.778.218,,,3941066.0,3778218.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng (TM số 6) > TỔNG CỘNG,TỔNG CỘNG,,,307.145.551,641.674.018,,,307145551.0,641674018.0
