row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020,Trong nướcTriệu VND,Ngoài nướcTriệu VND,Tổng cộngTriệu VND,numeric__Trong nướcTriệu VND,numeric__Ngoài nướcTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.421.993,-,1.421.993,1421993.0,,1421993.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,24.591.537,-,24.591.537,24591537.0,,24591537.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,4.207.792,161.185,4.368.977,4207792.0,161185.0,4368977.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,23.753,-,23.753,23753.0,,23753.0
Cho vay khách hàng,Tài sản > Cho vay khách hàng,Cho vay khách hàng,169.520.235,-,169.520.235,169520235.0,,169520235.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,250.662,-,250.662,250662.0,,250662.0
Chứng khoán đầu tư,Tài sản > Chứng khoán đầu tư,Chứng khoán đầu tư,41.465.854,-,41.465.854,41465854.0,,41465854.0
Gớp vốn đầu tư dài hạn,Tài sản > Gớp vốn đầu tư dài hạn,Gớp vốn đầu tư dài hạn,136.671,601,137.272,136671.0,601.0,137272.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,406.873,-,406.873,406873.0,,406873.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,4.396.495,-,4.396.495,4396495.0,,4396495.0
,,,246.421.865,161.786,246.583.651,246421865.0,161786.0,246583651.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,30.261.170,12.226.352,42.487.522,30261170.0,12226352.0,42487522.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,144.809.812,5.539.283,150.349.095,144809812.0,5539283.0,150349095.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",10.088,-,10.088,10088.0,,10088.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,28.558.863,-,28.558.863,28558863.0,,28558863.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,5.296.295,-,5.296.295,5296295.0,,5296295.0
,,,208.936.228,17.765.635,226.701.863,208936228.0,17765635.0,226701863.0
Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,,,,,,
Cam kết giao dịch hối đoái,Các cam kết ngoại bảng > Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,69.961.713,-,69.961.713,69961713.0,,69961713.0
Cam kết trong nghiệp vụ thư tín dụng,Các cam kết ngoại bảng > Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,2.612.315,-,2.612.315,2612315.0,,2612315.0
Bảo lãnh khác,Các cam kết ngoại bảng > Bảo lãnh khác,Bảo lãnh khác,5.374.798,-,5.374.798,5374798.0,,5374798.0
Các cam kết khác,Các cam kết ngoại bảng > Các cam kết khác,Các cam kết khác,12.944.421,-,12.944.421,12944421.0,,12944421.0
,,,90.893.247,-,90.893.247,90893247.0,,90893247.0
