row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng(theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo),numeric__Tổng giá trị của hợp đồng(theo tỷ giá ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi sổ kế toán(theo tỷ giá tại ngày lập báo cáo)
,,,Triệu VND,Tài sản/(Nợ phải trả)Triệu VND,,
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2021 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,644.352,8.063,644352.0,8063.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2021 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,27.158.395,(70.456),27158395.0,-70456.0
Giao dịch hoán đổi lãi suất,Tại ngày 31 tháng 12 năm 2021 > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,2.308.380,(1.540),2308380.0,-1540.0
,,,30.111.127,(63.933),30111127.0,-63933.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2020 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,957.758,3.360,957758.0,3360.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2020 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,14.312.008,20.310,14312008.0,20310.0
Giao dịch hoán đổi lãi suất,Tại ngày 31 tháng 12 năm 2020 > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,3.379.317,83,3379317.0,83.0
,,,18.649.083,23.753,18649083.0,23753.0
