row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,106.392,420.446,51.532,59.739,100.981,739.090,106392.0,420446.0,51532.0,59739.0,100981.0,739090.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,2.267,64.616,11.079,26.554,8.700,113.216,2267.0,64616.0,11079.0,26554.0,8700.0,113216.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.343),(912),(4.380),(618),(3.614),(13.867),-4343.0,-912.0,-4380.0,-618.0,-3614.0,-13867.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,104.316,484.150,58.231,85.675,106.067,838.439,104316.0,484150.0,58231.0,85675.0,106067.0,838439.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,50.866,263.657,47.838,32.089,84.549,478.999,50866.0,263657.0,47838.0,32089.0,84549.0,478999.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.406,41.830,1.918,12.932,8.176,71.262,6406.0,41830.0,1918.0,12932.0,8176.0,71262.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.343),(912),(4.380),(618),(3.614),(13.867),-4343.0,-912.0,-4380.0,-618.0,-3614.0,-13867.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,52.929,304.575,45.376,44.403,89.111,536.394,52929.0,304575.0,45376.0,44403.0,89111.0,536394.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,55.526,156.789,3.694,27.650,16.432,260.091,55526.0,156789.0,3694.0,27650.0,16432.0,260091.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,51.387,179.575,12.855,41.272,16.956,302.045,51387.0,179575.0,12855.0,41272.0,16956.0,302045.0
