row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,11.093.879,1.350,10.556,1.072.756,169.587,5.625.686,17.973.814,11093879.0,1350.0,10556.0,1072756.0,169587.0,5625686.0,17973814.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,6.409.750,6.409.750,,,,,,6409750.0,6409750.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,464.760,232.379,(697.139),-,,,,464760.0,232379.0,-697139.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,(92.954),(92.954),,,,,,-92954.0,-92954.0
Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),4.437.551,-,-,-,(163.287),(4.274.264),-,4437551.0,,,,-163287.0,-4274264.0,
Bán cổ phiếu lẻ,Bán cổ phiếu lẻ,Bán cổ phiếu lẻ,-,130,-,-,-,-,130,,130.0,,,,,130.0
Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,15.531.430,1.480,10.556,1.537.516,238.679,6.971.079,24.290.740,15531430.0,1480.0,10556.0,1537516.0,238679.0,6971079.0,24290740.0
Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,9.244.914,1.332,1.710.556,745.540,136.936,1.590.366,13.429.644,9244914.0,1332.0,1710556.0,745540.0,136936.0,1590366.0,13429644.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,4.642.334,4.642.334,,,,,,4642334.0,4642334.0
Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,Trích lập các quỹ thuộc vốn chủ sở hữu,-,-,-,327.216,163.608,(490.824),-,,,,327216.0,163608.0,-490824.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,(98.164),(98.164),,,,,,-98164.0,-98164.0
Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),Tăng vốn trong năm bằng hình thức cổ phiếu thưởng (*),1.848.965,18,(1.700.000),-,(130.957),(18.026),-,1848965.0,18.0,-1700000.0,,-130957.0,-18026.0,
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,11.093.879,1.350,10.556,1.072.756,169.587,5.625.686,17.973.814,11093879.0,1350.0,10556.0,1072756.0,169587.0,5625686.0,17973814.0
