row_label_raw,row_label_full,col_0,2021Triệu VND,2020Triệu VND,numeric__2021Triệu VND,numeric__2020Triệu VND
Thu nhập từ hoạt động dịch vụ từ,Thu nhập từ hoạt động dịch vụ từ,Thu nhập từ hoạt động dịch vụ từ,Thu nhập từ hoạt động dịch vụ từ,Thu nhập từ hoạt động dịch vụ từ,,
Dịch vụ hoa hồng bào hiểm,Thu nhập từ hoạt động dịch vụ từ > Dịch vụ hoa hồng bào hiểm,Dịch vụ hoa hồng bào hiểm,1.196.060,1.217.277,1196060.0,1217277.0
Dịch vụ thanh toán,Thu nhập từ hoạt động dịch vụ từ > Dịch vụ thanh toán,Dịch vụ thanh toán,1.247.291,891.415,1247291.0,891415.0
Dịch vụ khác,Thu nhập từ hoạt động dịch vụ từ > Dịch vụ khác,Dịch vụ khác,1.077.349,843.287,1077349.0,843287.0
,,,3.520.700,2.951.979,3520700.0,2951979.0
Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,Chi phí hoạt động dịch vụ cho,,
Dịch vụ thanh toán,Chi phí hoạt động dịch vụ cho > Dịch vụ thanh toán,Dịch vụ thanh toán,(404.677),(292.436),-404677.0,-292436.0
Dịch vụ môi giới,Chi phí hoạt động dịch vụ cho > Dịch vụ môi giới,Dịch vụ môi giới,(174.369),(161.526),-174369.0,-161526.0
Cước phí bưu điện về mạng viễn thông,Chi phí hoạt động dịch vụ cho > Cước phí bưu điện về mạng viễn thông,Cước phí bưu điện về mạng viễn thông,(132.080),(57.395),-132080.0,-57395.0
Dịch vụ hoa hồng bào hiểm,Chi phí hoạt động dịch vụ cho > Dịch vụ hoa hồng bào hiểm,Dịch vụ hoa hồng bào hiểm,(37.370),(25.912),-37370.0,-25912.0
Dịch vụ ủy thác và đại lý,Chi phí hoạt động dịch vụ cho > Dịch vụ ủy thác và đại lý,Dịch vụ ủy thác và đại lý,(13.371),(8.695),-13371.0,-8695.0
Dịch vụ khác,Chi phí hoạt động dịch vụ cho > Dịch vụ khác,Dịch vụ khác,(16.881),(17.340),-16881.0,-17340.0
,,,(778.748),(563.304),-778748.0,-563304.0
Lãi thuần từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ cho > Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,2.741.952,2.388.675,2741952.0,2388675.0
