row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2020,Năm kết thúc ngày 31 tháng 12 năm 2020_1,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Tổng Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2020_1,numeric__Miền Bắc Triệu VND,numeric__Miền Trung Triệu VND,numeric__Miền Nam Triệu VND,numeric__Tổng Triệu VND
I,I,I,Doanh thu,,,,,,,,,
I,I > I,I,Thu nhập lãi và các khoản thu nhập tương tự,3.289.583,1.721.132,12.426.391,17.437.106,,3289583.0,1721132.0,12426391.0,17437106.0
I,I > I,I,Thu nhập từ hoạt động dịch vụ,861.943,204.404,1.885.632,2.951.979,,861943.0,204404.0,1885632.0,2951979.0
I,I > I,I,Thu nhập từ hoạt động khác,72.522,8.529,689.154,770.205,,72522.0,8529.0,689154.0,770205.0
I,I > I,I,,4.224.048,1.934.065,15.001.177,21.159.290,,4224048.0,1934065.0,15001177.0,21159290.0
II,II,II,Chi phí,,,,,,,,,
II,II > II,II,Chi phí lãi và các khoản chi phí tương tự,(1.103.253),(1.046.565),(6.791.181),(8.940.999),,-1103253.0,-1046565.0,-6791181.0,-8940999.0
II,II > II,II,Chi phí khấu hao TSCĐ,(3.875),(2.510),(84.037),(90.422),,-3875.0,-2510.0,-84037.0,-90422.0
II,II > II,II,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(1.110.376),(283.511),(3.983.340),(5.377.227),,-1110376.0,-283511.0,-3983340.0,-5377227.0
II,II > II,II,,(2.217.504),(1.332.586),(10.858.558),(14.408.648),,-2217504.0,-1332586.0,-10858558.0,-14408648.0
II,II > II,II,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,2.006.544,601.479,4.142.619,6.750.642,,2006544.0,601479.0,4142619.0,6750642.0
II,II > II,II,Chi phí dự phòng rủi ro tín dụng,(245.898),(43.421),(658.316),(947.635),,-245898.0,-43421.0,-658316.0,-947635.0
II,II > II,II,Kết quả kinh doanh bộ phận (trước thuế),1.760.646,558.058,3.484.303,5.803.007,,1760646.0,558058.0,3484303.0,5803007.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,,,,,
III,III,III,Tài sản,,,,,,,,,
III,III > III,III,Tiền mặt,657.934,150.651,613.408,1.421.993,,657934.0,150651.0,613408.0,1421993.0
III,III > III,III,Tài sản cố định,8.549,-,395.333,403.882,,8549.0,,395333.0,403882.0
III,III > III,III,Tài sản khác,35.120.299,18.585.052,189.144.451,242.849.802,,35120299.0,18585052.0,189144451.0,242849802.0
III,III > III,III,Tổng tài sản,35.786.782,18.735.703,190.153.192,244.675.677,,35786782.0,18735703.0,190153192.0,244675677.0
IV,IV,IV,Nợ phải trả,,,,,,,,,
IV,IV > IV,IV,Nợ phải trả khách hàng bên ngoài,83.486.738,10.182.722,131.586.275,225.255.735,,83486738.0,10182722.0,131586275.0,225255735.0
IV,IV > IV,IV,Nợ phải trả nội bộ,13.088,1.550,677.069,691.707,,13088.0,1550.0,677069.0,691707.0
IV,IV > IV,IV,Nợ phải trả khác,3.996,202,750.223,754.421,,3996.0,202.0,750223.0,754421.0
IV,IV > IV,IV,Tổng nợ phải trả,83.503.822,10.184.474,133.013.567,226.701.863,,83503822.0,10184474.0,133013567.0,226701863.0
