row_label_raw,row_label_full,col_0,Cho vaykhách hàng,Mua nợ,Chứngkhoán đầutur (*),Tiền gửi vàcho vay cáctCTDkhác (**),Tổng cộng,numeric__Cho vaykhách hàng,numeric__Mua nợ,numeric__Chứngkhoán đầutur (*),numeric__Tiền gửi vàcho vay cáctCTDkhác (**),numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,164.034.824,236.810,29.758.954,3.967.418,197.998.006,164034824.0,236810.0,29758954.0,3967418.0,197998006.0
Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,2.527.966,1.370,-,-,2.529.336,2527966.0,1370.0,,,2529336.0
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,566.114,267,-,-,566.381,566114.0,267.0,,,566381.0
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,796.884,884,-,-,797.768,796884.0,884.0,,,797768.0
Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,1.594.447,11.331,-,-,1.605.778,1594447.0,11331.0,,,1605778.0
,,,169.520.235,250.662,29.758.954,3.967.418,203.497.269,169520235.0,250662.0,29758954.0,3967418.0,203497269.0
