row_label_raw,row_label_full,Nhóm nợ,Tỷ lệ dự phòng cụ thể,numeric__Tỷ lệ dự phòng cụ thể
1 – Nợ đủ tiêu chuẩn,1 – Nợ đủ tiêu chuẩn,1 – Nợ đủ tiêu chuẩn,0%,0.0
2 – Nợ cần chú ý,2 – Nợ cần chú ý,2 – Nợ cần chú ý,5%,0.05
3 – Nợ dưới tiêu chuẩn,3 – Nợ dưới tiêu chuẩn,3 – Nợ dưới tiêu chuẩn,20%,0.2
4 – Nợ nghi ngờ,4 – Nợ nghi ngờ,4 – Nợ nghi ngờ,50%,0.5
5 – Nợ có khả năng mất vốn,5 – Nợ có khả năng mất vốn,5 – Nợ có khả năng mất vốn,100%,1.0
