row_label_raw,row_label_full,"Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_1","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_2","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_3","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_4","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_5","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_6","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_1","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_2","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_3","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_4","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_5","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 và 2 Toà nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí MinhThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo)_6"
,,,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định hữu hình khác Triệu VND,Tổng cộngTriệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,104.042,361.666,51.532,45.262,96.627,659.129,104042.0,361666.0,51532.0,45262.0,96627.0,659129.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.954,68.098,-,14.477,4.354,92.883,5954.0,68098.0,,14477.0,4354.0,92883.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(3.604),-,-,-,-,(3.604),-3604.0,,,,,-3604.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(9.318),-,-,-,(9.318),,-9318.0,,,,-9318.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,106.392,420.446,51.532,59.739,100.981,739.090,106392.0,420446.0,51532.0,59739.0,100981.0,739090.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,44.908,238.473,46.695,23.669,77.170,430.915,44908.0,238473.0,46695.0,23669.0,77170.0,430915.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,6.571,34.492,1.143,8.420,7.379,58.005,6571.0,34492.0,1143.0,8420.0,7379.0,58005.0
Chuyển sang bất động sản đầu tư,Hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(613),-,-,-,-,(613),-613.0,,,,,-613.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(9.308),-,-,-,(9.308),,-9308.0,,,,-9308.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,50.866,263.657,47.838,32.089,84.549,478.999,50866.0,263657.0,47838.0,32089.0,84549.0,478999.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,59.134,123.193,4.837,21.593,19.457,228.214,59134.0,123193.0,4837.0,21593.0,19457.0,228214.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,55.526,156.789,3.694,27.650,16.432,260.091,55526.0,156789.0,3694.0,27650.0,16432.0,260091.0
