row_label_raw,row_label_full,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc_1
31/12/2021,31/12/2021,31/12/2021,31/12/2020,
3%,31/12/2021 > 3%,3%,3%,0.03
1%,31/12/2021 > 1%,1%,1%,0.01
8%,31/12/2021 > 8%,8%,8%,0.08
6%,31/12/2021 > 6%,6%,6%,0.06
1%,31/12/2021 > 1%,1%,1%,0.01
