row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2021,Năm kết thúcngày 31 tháng 12 năm 2021_1,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,TổngTriệu VND,numeric__Năm kết thúcngày 31 tháng 12 năm 2021_1,numeric__Miền BắcTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__TổngTriệu VND
I,I,I,Doanh thu,,,,,,,,,
I,I > I,I,Thu nhập lãi và các khoản thu nhập tương tự,3.617.864,1.911.327,15.445.820,20.975.011,,3617864.0,1911327.0,15445820.0,20975011.0
I,I > I,I,Thu nhập từ hoạt động dịch vụ,1.122.889,258.369,2.139.442,3.520.700,,1122889.0,258369.0,2139442.0,3520700.0
I,I > I,I,Thu nhập từ hoạt động khác,128.167,9.082,718.296,855.545,,128167.0,9082.0,718296.0,855545.0
I,I > I,I,,4.868.920,2.178.778,18.303.558,25.351.256,,4868920.0,2178778.0,18303558.0,25351256.0
II,II,II,Chi phí,,,,,,,,,
II,II > II,II,Chi phí lãi và các khoản chi phí tương tự,(490.526),(1.063.419),(7.604.919),(9.158.864),,-490526.0,-1063419.0,-7604919.0,-9158864.0
II,II > II,II,Chi phí khấu hao TSCĐ,(5.565),(2.843),(109.341),(117.749),,-5565.0,-2843.0,-109341.0,-117749.0
II,II > II,II,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(1.407.656),(325.067),(4.732.860),(6.465.583),,-1407656.0,-325067.0,-4732860.0,-6465583.0
II,II > II,II,,(1.903.747),(1.391.329),(12.447.120),(15.742.196),,-1903747.0,-1391329.0,-12447120.0,-15742196.0
II,II > II,II,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,2.965.173,787.449,5.856.438,9.609.060,,2965173.0,787449.0,5856438.0,9609060.0
II,II > II,II,Chi phí dự phòng rủi ro tín dụng,(417.793),(51.067),(1.129.188),(1.598.048),,-417793.0,-51067.0,-1129188.0,-1598048.0
II,II > II,II,Kết quả kinh doanh bộ phận (trước thuế),2.547.380,736.382,4.727.250,8.011.012,,2547380.0,736382.0,4727250.0,8011012.0
