row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Chưa quá hạn và chưa phải TLDPTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn dưới 10 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngàyTriệu VND,Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngàyTriệu VND,Quá hạn và đã được TLDP > Triệu VND,Quá hạn và đã được TLDP > Tổng cộng,numeric__Chưa quá hạn và chưa phải TLDPTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn dưới 10 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 10 đến 90 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 91 đến 180 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn từ 181 đến 360 ngàyTriệu VND,numeric__Đã quá hạn nhưng chưa phải TLDP > Quá hạn trên 360 ngàyTriệu VND,numeric__Quá hạn và đã được TLDP > Triệu VND,numeric__Quá hạn và đã được TLDP > Tổng cộng
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,24.890.710,-,-,-,-,-,-,24.890.710,24890710.0,,,,,,,24890710.0
Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,27.985.117,-,-,-,-,-,-,27.985.117,27985117.0,,,,,,,27985117.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,186.771.314,4.576.009,778.055,233.590,204.096,518.718,8.434.972,201.516.754,186771314.0,4576009.0,778055.0,233590.0,204096.0,518718.0,8434972.0,201516754.0
Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,153.668,592,-,-,-,5.766,-,160.026,153668.0,592.0,,,,5766.0,,160026.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,37.905.635,-,-,-,-,-,-,37.905.635,37905635.0,,,,,,,37905635.0
Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,9.223.562,-,-,-,-,-,-,9.223.562,9223562.0,,,,,,,9223562.0
,,,286.930.006,4.576.601,778.055,233.590,204.096,524.484,8.434.972,301.681.804,286930006.0,4576601.0,778055.0,233590.0,204096.0,524484.0,8434972.0,301681804.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Chưa quá hạn và chưa phải TLDPTriệu VND,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Quá hạn và đã được TLDP,Quá hạn và đã được TLDP,,,,,,,,
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Chưa quá hạn và chưa phải TLDPTriệu VND,Quá hạn dưới 10 ngàyTriệu VND,Quá hạn từ 10 đến 90 ngàyTriệu VND,Quá hạn từ 91 đến 180 ngàyTriệu VND,Quá hạn từ 181 đến 360 ngàyTriệu VND,Quá hạn trên 360 ngàyTriệu VND,Triệu VND,Tổng cộng,,,,,,,,
Tiền gửi tại NHNNVN,Tại ngày 31 tháng 12 năm 2020 > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,24.591.537,-,-,-,-,-,-,24.591.537,24591537.0,,,,,,,24591537.0
Tiền gửi và cho vay các TCTD khác - gộp,Tại ngày 31 tháng 12 năm 2020 > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,4.368.977,-,-,-,-,-,-,4.368.977,4368977.0,,,,,,,4368977.0
Cho vay khách hàng - gộp,Tại ngày 31 tháng 12 năm 2020 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,158.160.230,5.822.429,962.464,84.350,124.918,817.525,3.548.319,169.520.235,158160230.0,5822429.0,962464.0,84350.0,124918.0,817525.0,3548319.0,169520235.0
Hoạt động mua nợ - gộp,Tại ngày 31 tháng 12 năm 2020 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,233.918,2.890,-,-,296,11.230,2.328,250.662,233918.0,2890.0,,,296.0,11230.0,2328.0,250662.0
Chứng khoán đầu tư - gộp,Tại ngày 31 tháng 12 năm 2020 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,29.758.954,-,-,-,-,-,-,29.758.954,29758954.0,,,,,,,29758954.0
Tài sản tài chính khác - gộp,Tại ngày 31 tháng 12 năm 2020 > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,3.407.504,-,-,-,-,-,-,3.407.504,3407504.0,,,,,,,3407504.0
,,,220.521.120,5.825.319,962.464,84.350,125.214,828.755,3.550.647,231.897.869,220521120.0,5825319.0,962464.0,84350.0,125214.0,828755.0,3550647.0,231897869.0
