row_label_raw,row_label_full,Phải trả người bán ngắn hạn (Thuyết minh 15(a)),Số cuối năm VND > Phải trả người bán ngắn hạn (Thuyết minh 15(a)),Số đầu năm VND > Phải trả người bán ngắn hạn (Thuyết minh 15(a)),numeric__Số cuối năm VND > Phải trả người bán ngắn hạn (Thuyết minh 15(a)),numeric__Số đầu năm VND > Phải trả người bán ngắn hạn (Thuyết minh 15(a))
Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,-,11.900.788.005,,11900788005.0
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,12.337.893.700,4.902.878.652,12337893700.0,4902878652.0
Công ty Cổ Phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ Phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ Phần Xây dựng và Kết cấu Thép Đại Tín,343.745.150,50.862.592.851,343745150.0,50862592851.0
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,-,-,,
Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,66.000.000,237.407.000,66000000.0,237407000.0
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,-,-,,
Công ty Cổ phần Xuất Nhập khẩu Tân Định,Công ty Cổ phần Xuất Nhập khẩu Tân Định,Công ty Cổ phần Xuất Nhập khẩu Tân Định,-,-,,
Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,Công ty Cổ phần Xuất Nhập khẩu Tân Định > Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,Công ty Cổ phần Xuất Nhập Khẩu Bến Tre,-,114.000.000,,114000000.0
Công ty Cổ phần Thương mại Thành Thành Công,Công ty Cổ phần Xuất Nhập khẩu Tân Định > Công ty Cổ phần Thương mại Thành Thành Công,Công ty Cổ phần Thương mại Thành Thành Công,-,3.058.000,,3058000.0
,,,12.747.638.850,68.020.724.508,12747638850.0,68020724508.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,
Công ty Cổ phần Thủy điện Trường Phú,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,1.306.333.207,-,1306333207.0,
Công ty Cổ phần Biên Hòa - Thành Long,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,1.437.362.987,1.437.362.987,1437362987.0,1437362987.0
,,,2.743.696.194,1.437.362.987,2743696194.0,1437362987.0
