row_label_raw,row_label_full,Tổng giá trị các khoản phải thu quá hạn thanh toán,Số cuối năm > Giá trị gốc VND > Tổng giá trị các khoản phải thu quá hạn thanh toán,Số cuối năm > Giá trị có thể thu hồi VND > Tổng giá trị các khoản phải thu quá hạn thanh toán,Số cuối năm > Dự phòng VND > Tổng giá trị các khoản phải thu quá hạn thanh toán,numeric__Số cuối năm > Giá trị gốc VND > Tổng giá trị các khoản phải thu quá hạn thanh toán,numeric__Số cuối năm > Giá trị có thể thu hồi VND > Tổng giá trị các khoản phải thu quá hạn thanh toán,numeric__Số cuối năm > Dự phòng VND > Tổng giá trị các khoản phải thu quá hạn thanh toán
Công ty Cổ phần Tấn Phát,Công ty Cổ phần Tấn Phát,Công ty Cổ phần Tấn Phát,367.965.730,257.576.011,(110.389.719),367965730.0,257576011.0,-110389719.0
Công ty Cổ phần Tư vấn Xây dựng Tân Phước,Công ty Cổ phần Tư vấn Xây dựng Tân Phước,Công ty Cổ phần Tư vấn Xây dựng Tân Phước,403.977.990,201.988.995,(201.988.995),403977990.0,201988995.0,-201988995.0
Công ty TNHH GKC,Công ty TNHH GKC,Công ty TNHH GKC,280.028.312,-,(280.028.312),280028312.0,,-280028312.0
Khác,Khác,Khác,234.178.078,45.803.086,(188.374.992),234178078.0,45803086.0,-188374992.0
,,,1.286.150.110,505.368.092,(780.782.018),1286150110.0,505368092.0,-780782018.0
,,,Số đầu năm,Số đầu năm,Số đầu năm,,,
,,,Giá trị gốc VND,Giá trị có thể thu hồi VND,Dự phòng VND,,,
Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,,,
Công ty TNHH GKC,Tổng giá trị các khoản phải thu quá hạn thanh toán > Công ty TNHH GKC,Công ty TNHH GKC,280.028.312,-,(280.028.312),280028312.0,,-280028312.0
Công ty Cổ phần Gia Lâm,Tổng giá trị các khoản phải thu quá hạn thanh toán > Công ty Cổ phần Gia Lâm,Công ty Cổ phần Gia Lâm,691.183.500,-,(691.183.500),691183500.0,,-691183500.0
Khác,Tổng giá trị các khoản phải thu quá hạn thanh toán > Khác,Khác,37.100.300,-,(37.100.300),37100300.0,,-37100300.0
,,,1.008.312.112,-,(1.008.312.112),1008312112.0,,-1008312112.0
