row_label_raw,row_label_full,Số dư đầu năm > Trích lập từ LNST chưa phân phối(Thuyết minh 24),Năm nay VND > 35.713.828.314 > 22.656.989.898,Năm trước VND > 31.566.321.809 > 22.544.831.218,numeric__Năm nay VND > 35.713.828.314 > 22.656.989.898,numeric__Năm trước VND > 31.566.321.809 > 22.544.831.218
Sử dụng,Sử dụng,Sử dụng,(17.894.703.970),(18.295.140.292),-17894703970.0,-18295140292.0
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,-,(102.184.421),,-102184421.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,40.476.114.242,35.713.828.314,40476114242.0,35713828314.0
