row_label_raw,row_label_full,Bên liên quan (Thuyết minh 35(b)),Tại ngày đầu năm VND > Bên liên quan (Thuyết minh 35(b)),Chi cho vay VND > Bên liên quan (Thuyết minh 35(b)),Chuyển từ phải thu ngắn hạn khác trong năm VND > Bên liên quan (Thuyết minh 35(b)),Thu hồi nợ vay VND > Bên liên quan (Thuyết minh 35(b)),Tại ngày cuối năm VND > Bên liên quan (Thuyết minh 35(b)),numeric__Tại ngày đầu năm VND > Bên liên quan (Thuyết minh 35(b)),numeric__Chi cho vay VND > Bên liên quan (Thuyết minh 35(b)),numeric__Chuyển từ phải thu ngắn hạn khác trong năm VND > Bên liên quan (Thuyết minh 35(b)),numeric__Thu hồi nợ vay VND > Bên liên quan (Thuyết minh 35(b)),numeric__Tại ngày cuối năm VND > Bên liên quan (Thuyết minh 35(b))
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,69.200.397.839,206.800.000.000,26.200.000.000,(124.024.497.839),178.175.900.000,69200397839.0,206800000000.0,26200000000.0,-124024497839.0,178175900000.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,71.000.000.000,-,-,-,71.000.000.000,71000000000.0,,,,71000000000.0
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,4.000.000.000,-,-,-,4.000.000.000,4000000000.0,,,,4000000000.0
,,,144.200.397.839,206.800.000.000,26.200.000.000,(124.024.497.839),253.175.900.000,144200397839.0,206800000000.0,26200000000.0,-124024497839.0,253175900000.0
Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,Chi tiết số dư cuối năm của các khoản cho vay ngắn hạn như sau:,,,,,
Bên đi vay,Bên đi vay,Bên đi vay,,Số cuối năm VND,Thời hạn cho vay,Lãi suất (%/năm),Hình thức đảm bảo,,,,,
Công ty Cổ phần Thủy điện Trường Phú,Bên đi vay > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,,178.175.900.000,(*),"11,50%",Tín chấp,,178175900000.0,,0.115,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên đi vay > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,,71.000.000.000,Đến tháng 3 năm 2022,"10,00%",Tín chấp,,71000000000.0,,0.1,
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Bên đi vay > Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,,4.000.000.000,Đến tháng 3 năm 2022,"9,00%",Tín chấp,,4000000000.0,,0.09,
,,,,253.175.900.000,,,,,253175900000.0,,,
(*) Các khoản cho vay ngắn hạn với Công ty Cổ phần Thủy điện Trường Phú bao gồm nhiều khoản cho vay có kỳ hạn 3 tháng với thời gian đáo hạn từ tháng 1 năm 2022 đến tháng 3 năm 2022.,(*) Các khoản cho vay ngắn hạn với Công ty Cổ phần Thủy điện Trường Phú bao gồm nhiều khoản cho vay có kỳ hạn 3 tháng với thời gian đáo hạn từ tháng 1 năm 2022 đến tháng 3 năm 2022.,(*) Các khoản cho vay ngắn hạn với Công ty Cổ phần Thủy điện Trường Phú bao gồm nhiều khoản cho vay có kỳ hạn 3 tháng với thời gian đáo hạn từ tháng 1 năm 2022 đến tháng 3 năm 2022.,(*) Các khoản cho vay ngắn hạn với Công ty Cổ phần Thủy điện Trường Phú bao gồm nhiều khoản cho vay có kỳ hạn 3 tháng với thời gian đáo hạn từ tháng 1 năm 2022 đến tháng 3 năm 2022.,(*) Các khoản cho vay ngắn hạn với Công ty Cổ phần Thủy điện Trường Phú bao gồm nhiều khoản cho vay có kỳ hạn 3 tháng với thời gian đáo hạn từ tháng 1 năm 2022 đến tháng 3 năm 2022.,(*) Các khoản cho vay ngắn hạn với Công ty Cổ phần Thủy điện Trường Phú bao gồm nhiều khoản cho vay có kỳ hạn 3 tháng với thời gian đáo hạn từ tháng 1 năm 2022 đến tháng 3 năm 2022.,(*) Các khoản cho vay ngắn hạn với Công ty Cổ phần Thủy điện Trường Phú bao gồm nhiều khoản cho vay có kỳ hạn 3 tháng với thời gian đáo hạn từ tháng 1 năm 2022 đến tháng 3 năm 2022.,(*) Các khoản cho vay ngắn hạn với Công ty Cổ phần Thủy điện Trường Phú bao gồm nhiều khoản cho vay có kỳ hạn 3 tháng với thời gian đáo hạn từ tháng 1 năm 2022 đến tháng 3 năm 2022.,,,,,
Các khoản cho vay trên được sử dụng cho mục đích bổ sung vốn lưu động tại các đơn vị này.,Các khoản cho vay trên được sử dụng cho mục đích bổ sung vốn lưu động tại các đơn vị này.,Các khoản cho vay trên được sử dụng cho mục đích bổ sung vốn lưu động tại các đơn vị này.,Các khoản cho vay trên được sử dụng cho mục đích bổ sung vốn lưu động tại các đơn vị này.,Các khoản cho vay trên được sử dụng cho mục đích bổ sung vốn lưu động tại các đơn vị này.,Các khoản cho vay trên được sử dụng cho mục đích bổ sung vốn lưu động tại các đơn vị này.,Các khoản cho vay trên được sử dụng cho mục đích bổ sung vốn lưu động tại các đơn vị này.,Các khoản cho vay trên được sử dụng cho mục đích bổ sung vốn lưu động tại các đơn vị này.,,,,,
