row_label_raw,row_label_full,col_0,col_1,Số cuối năm VND,Số đầu năm VND,numeric__col_1,numeric__Số cuối năm VND,numeric__Số đầu năm VND
,,,Lãi vay,24.588.946.141,9.870.369.014,,24588946141.0,9870369014.0
,,,Chi phí đã hình thành TSCĐ,-,7.291.379.724,,,7291379724.0
,,,Khác,7.181.473.351,17.149.625.074,,7181473351.0,17149625074.0
,,,,31.770.419.492,34.311.373.812,,31770419492.0,34311373812.0
18,18,18,PHÀI TRÀ NGÂN HẠN KHÁC,,,,,
,,,,Số cuối năm VND,Số đầu năm VND,,,
,,,Cổ tức phải trả,4.307.846.702,4.551.957.124,,4307846702.0,4551957124.0
,,,Phí dịch vụ môi trường rừng,1.932.481.188,2.687.178.168,,1932481188.0,2687178168.0
,,,Khác,7.934.539.576,4.911.889.089,,7934539576.0,4911889089.0
,,,,14.174.867.466,12.151.024.381,,14174867466.0,12151024381.0
,,,Trong đó,,,,,
,,,Bên thứ ba,14.174.867.466,12.151.024.381,,14174867466.0,12151024381.0
