row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,"Phương tiệnvận tải, truyền đầNVND",Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,"numeric__Phương tiệnvận tải, truyền đầNVND",numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,1.810.643.634.276,4.139.933.234.992,353.958.833.874,83.865.407.902,175.960.367.023,6.564.361.478.067,1810643634276.0,4139933234992.0,353958833874.0,83865407902.0,175960367023.0,6564361478067.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.258.637.091,757.285.455,658.500.000,1.369.481.900,4.931.873.656,8.975.778.102,1258637091.0,757285455.0,658500000.0,1369481900.0,4931873656.0,8975778102.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),1.196.888.073.481,3.230.716.337.158,880.545.232.962,79.090.598.188,179.708.946.915,5.566.949.188.704,1196888073481.0,3230716337158.0,880545232962.0,79090598188.0,179708946915.0,5566949188704.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,308.413.235,1.770.576.529,(842.506.380),-,(1.236.483.384),-,308413235.0,1770576529.0,-842506380.0,,-1236483384.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(21.009.191.407),(50.214.926.627),(19.902.240.328),(3.503.743.353),(21.193.464.844),(115.823.566.559),-21009191407.0,-50214926627.0,-19902240328.0,-3503743353.0,-21193464844.0,-115823566559.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(1.182.566.161),(37.397.756),(63.150.303),-,(1.106.292.761),(2.389.406.981),-1182566161.0,-37397756.0,-63150303.0,,-1106292761.0,-2389406981.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,2.986.907.000.515,7.322.925.109.751,1.214.354.669.825,160.821.744.637,337.064.946.605,12.022.073.471.333,2986907000515.0,7322925109751.0,1214354669825.0,160821744637.0,337064946605.0,12022073471333.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,447.895.208.533,595.440.214.722,97.013.470.844,20.185.680.140,73.611.346.076,1.234.145.920.315,447895208533.0,595440214722.0,97013470844.0,20185680140.0,73611346076.0,1234145920315.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,96.257.505.817,261.917.467.585,31.372.699.723,11.781.043.860,7.140.833.215,408.469.550.200,96257505817.0,261917467585.0,31372699723.0,11781043860.0,7140833215.0,408469550200.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,(25.573.508),33.199.136,1.090.759.055,-,(1.098.384.683),-,-25573508.0,33199136.0,1090759055.0,,-1098384683.0,
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(12.449.445.092),(26.560.801.903),(18.314.822.942),(2.746.648.797),(7.220.182.902),(67.291.901.636),-12449445092.0,-26560801903.0,-18314822942.0,-2746648797.0,-7220182902.0,-67291901636.0
Khác,Khấu hao lũy kế > Khác,Khác,(41.234.415),-,-,-,(280.427.525),(321.661.940),-41234415.0,,,,-280427525.0,-321661940.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,531.636.461.335,830.830.079.540,111.162.106.680,29.220.075.203,72.153.184.181,1.575.001.906.939,531636461335.0,830830079540.0,111162106680.0,29220075203.0,72153184181.0,1575001906939.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.362.748.425.743,3.544.493.020.270,256.945.363.030,63.679.727.762,102.349.020.947,5.330.215.557.752,1362748425743.0,3544493020270.0,256945363030.0,63679727762.0,102349020947.0,5330215557752.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,2.455.270.539.180,6.492.095.030.211,1.103.192.563.145,131.601.669.434,264.911.762.424,10.447.071.564.394,2455270539180.0,6492095030211.0,1103192563145.0,131601669434.0,264911762424.0,10447071564394.0
