row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị VND,Số cuối năm > Dự phòng VND,Số đầu năm > Giá trị VND,Số đầu năm > Dự phòng VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Dự phòng VND
Tạm ứng cho nhân viên (*),Tạm ứng cho nhân viên (*),Tạm ứng cho nhân viên (*),63.660.883.878,-,96.067.294.926,-,63660883878.0,,96067294926.0,
Phải thu từ thanh lý TSCĐ (**),Phải thu từ thanh lý TSCĐ (**),Phải thu từ thanh lý TSCĐ (**),75.053.323.375,-,-,-,75053323375.0,,,
Phải thu về hợp đồng hợp tác đầu tư (***),Phải thu về hợp đồng hợp tác đầu tư (***),Phải thu về hợp đồng hợp tác đầu tư (***),5.200.000.000,-,74.419.296.000,-,5200000000.0,,74419296000.0,
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,23.930.104.201,-,9.981.104.927,-,23930104201.0,,9981104927.0,
Đặt cọc chuyển nhượng cổ phần,Đặt cọc chuyển nhượng cổ phần,Đặt cọc chuyển nhượng cổ phần,-,-,205.959.520.000,-,,,205959520000.0,
Đặt cọc quyền chọn mua cổ phần (****),Đặt cọc quyền chọn mua cổ phần (****),Đặt cọc quyền chọn mua cổ phần (****),-,-,110.000.000.000,-,,,110000000000.0,
Khác,Khác,Khác,3.826.809.717,-,6.706.348.582,-,3826809717.0,,6706348582.0,
,,,171.671.121.171,-,503.133.564.435,-,171671121171.0,,503133564435.0,
Trong đóBên liên quan(Thuyết minh 35(b)),Trong đóBên liên quan(Thuyết minh 35(b)),Trong đóBên liên quan(Thuyết minh 35(b)),39.576.911.376,-,330.066.534.827,-,39576911376.0,,330066534827.0,
Bên thứ ba,Bên thứ ba,Bên thứ ba,132.094.209.795,-,173.067.029.608,-,132094209795.0,,173067029608.0,
,,,171.671.121.171,-,503.133.564.435,-,171671121171.0,,503133564435.0,
