row_label_raw,row_label_full,col_0,col_1,col_2,col_3,col_4,col_5,Mẫu số B 09 – DN/HN,Mẫu số B 09 – DN/HN_1,numeric__col_1,numeric__col_2,numeric__col_3,numeric__col_4,numeric__col_5,numeric__Mẫu số B 09 – DN/HN,numeric__Mẫu số B 09 – DN/HN_1
1,1,1,ĐẶC ĐIỀM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo),ĐẶC ĐIỀM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo),ĐẶC ĐIỀM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo),ĐẶC ĐIỀM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo),ĐẶC ĐIỀM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo),ĐẶC ĐIỀM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo),ĐẶC ĐIỀM HOẠT ĐỘNG CỦA CÔNG TY (tiếp theo),,,,,,,
1,1,1,,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Tỷ lệ sở hữu trên vốn thực góp (%),Tỷ lệ sở hữu trên vốn thực góp (%),Tỷ lệ sở hữu trên vốn điều lệ đăng ký (%),Tỷ lệ sở hữu trên vốn điều lệ đăng ký (%),,,,,,,
1,1,1,,"Nơi thành lập, đăng ký hoạt động",Lĩnh vực kinh doanh,Số cuối năm,Số đầu năm,Số cuối năm,Số đầu năm,,,,,,,
a),a),a),Công ty con đang hoạt động (tiếp theo),Công ty con đang hoạt động (tiếp theo),Công ty con đang hoạt động (tiếp theo),Công ty con đang hoạt động (tiếp theo),Công ty con đang hoạt động (tiếp theo),Công ty con đang hoạt động (tiếp theo),Công ty con đang hoạt động (tiếp theo),,,,,,,
a),a) > a),a),11. Công ty Cổ phần Năng lượng Điện gió Tiền Giang (iv),Tỉnh Tiền Giang,Sản xuất và phân phối điện,"96,02","80,61","96,02","77,27",,,,96.02,80.61,96.02,77.27
a),a) > a),a),12. Công ty Cổ phần Điện gió la Bang (v),Tỉnh Gia Lai,Sản xuất và phân phối điện,"84,72","89,96","84,72","99,00",,,,84.72,89.96,84.72,99.0
a),a) > a),a),13. Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vĩ – Ja (vi),Thành phố Hồ Chí Minh,Sản xuất và phân phối điện,"99,00","100,00","99,00","99,00",,,,99.0,100.0,99.0,99.0
a),a) > a),a),14. Công ty Cổ phần Năng lượng Tái tạo Mới Số 1 (vii),Thành phố Hồ Chí Minh,"Sản xuất, truyền tải và phân phối điện","99,83",-,"99,83",-,,,,99.83,,99.83,
b),b),b),"Công ty con đã thành lập, nhưng chưa góp vốn","Công ty con đã thành lập, nhưng chưa góp vốn","Công ty con đã thành lập, nhưng chưa góp vốn","Công ty con đã thành lập, nhưng chưa góp vốn","Công ty con đã thành lập, nhưng chưa góp vốn","Công ty con đã thành lập, nhưng chưa góp vốn","Công ty con đã thành lập, nhưng chưa góp vốn",,,,,,,
b),b) > b),b),1. Công ty TNHH Một Thành viên Điện Mặt trời Phong Điền,Tỉnh Thừa Thiên Huế,Sản xuất và phân phối điện,-,-,"100,00","100,00",,,,,,100.0,100.0
b),b) > b),b),2. Công ty Cổ phần Năng lượng Tái tạo Tân Thành (viii),Tỉnh Tiền Giang,Sản xuất và phân phối điện,-,-,"99,90",-,,,,,,99.9,
b),b) > b),b),3. Công ty Cổ phần Năng lượng Tái tạo Tiền Giang (ix),Tỉnh Tiền Giang,Sản xuất và phân phối điện,-,-,"99,90",-,,,,,,99.9,
b),b) > b),b),4. Công ty Cổ phần Năng lượng Xanh Cà Mau (x),Tỉnh Cà Mau,"Sản xuất, truyền tải và phân phối điện",-,-,"99,90",-,,,,,,99.9,
c),c),c),Công ty liên kết đang hoạt động,Công ty liên kết đang hoạt động,Công ty liên kết đang hoạt động,Công ty liên kết đang hoạt động,Công ty liên kết đang hoạt động,Công ty liên kết đang hoạt động,Công ty liên kết đang hoạt động,,,,,,,
c),c) > c),c),1. Công ty Cổ phần Thủy điện Trường Phú (xi),Tỉnh Thừa Thiên Huế,"Sản xuất, truyền tải và phân phối điện","25,09",-,"25,09",-,,,,25.09,,25.09,
