row_label_raw,row_label_full,Mã số,TÀI SẢN (tiếp theo),Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__TÀI SẢN (tiếp theo),numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
200,200,200,TÀI SẢN DÀI HẠN,,11.156.428.286.368,5.993.832.023.391,,,11156428286368.0,5993832023391.0
210,210,210,Các khoản phải thu dài hạn,,9.125.131.969,25.783.175.551,,,9125131969.0,25783175551.0
216,216,216,Phải thu dài hạn khác,7(b),9.276.841.811,26.511.459.351,,,9276841811.0,26511459351.0
219,219,219,Dự phòng phải thu dài hạn khó đòi,8,(151.709.842),(728.283.800),,8.0,-151709842.0,-728283800.0
220,220,220,Tài sản cố định,,10.494.509.806.340,5.374.793.361.158,,,10494509806340.0,5374793361158.0
221,221,221,Tài sản cố định hữu hình,11(a),10.447.071.564.394,5.330.215.557.752,,,10447071564394.0,5330215557752.0
222,222,222,Nguyên giá,,12.022.073.471.333,6.564.361.478.067,,,12022073471333.0,6564361478067.0
223,223,223,Giá trị khấu hao lũy kế,,(1.575.001.906.939),(1.234.145.920.315),,,-1575001906939.0,-1234145920315.0
224,224,224,Tài sản cố định thuê tài chính,11(b),26.255.988.848,27.831.887.192,,,26255988848.0,27831887192.0
225,225,225,Nguyên giá,,28.086.588.959,28.086.588.959,,,28086588959.0,28086588959.0
226,226,226,Giá trị khấu hao lũy kế,,(1.830.600.111),(254.701.767),,,-1830600111.0,-254701767.0
227,227,227,Tài sản cố định vô hình,11(c),21.182.253.098,16.745.916.214,,,21182253098.0,16745916214.0
228,228,228,Nguyên giá,,28.463.708.932,21.320.599.372,,,28463708932.0,21320599372.0
229,229,229,Giá trị khấu hao lũy kế,,(7.281.455.834),(4.574.683.158),,,-7281455834.0,-4574683158.0
240,240,240,Tài sản dở dang dài hạn,,499.096.880.254,541.416.894.763,,,499096880254.0,541416894763.0
242,242,242,Chi phí xây dựng cơ bản dở dang,12,499.096.880.254,541.416.894.763,,12.0,499096880254.0,541416894763.0
250,250,250,Đầu tư tài chính dài hạn,,100.121.996.924,-,,,100121996924.0,
252,252,252,Đầu tư vào công ty liên kết,13,100.121.996.924,-,,13.0,100121996924.0,
260,260,260,Tài sản dài hạn khác,,53.574.470.881,51.838.591.919,,,53574470881.0,51838591919.0
261,261,261,Chi phí trả trước dài hạn,10(b),42.661.278.636,40.515.271.615,,,42661278636.0,40515271615.0
262,262,262,Tài sản thuế thu nhập hoãn lại,22,8.364.690.959,6.994.352.293,,22.0,8364690959.0,6994352293.0
269,269,269,Lợi thế thương mại,14,2.548.501.286,4.328.968.011,,14.0,2548501286.0,4328968011.0
270,270,270,TỔNG TÀI SẢN,,12.472.678.495.219,7.773.108.134.302,,,12472678495219.0,7773108134302.0
