row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,
Doanh thu bán điện,Doanh thu > Doanh thu bán điện,Doanh thu bán điện,1.367.392.516.486,1.249.420.657.995,1367392516486.0,1249420657995.0
Doanh thu cung cấp dịch vụ,Doanh thu > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,11.426.568.513,31.135.057.297,11426568513.0,31135057297.0
Doanh thu hợp đồng xây dựng,Doanh thu > Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,1.223.176.899,22.816.106.661,1223176899.0,22816106661.0
Doanh thu bán hàng hóa,Doanh thu > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,1.076.508.113,191.150.859.838,1076508113.0,191150859838.0
,,,1.381.118.770.011,1.494.522.681.791,1381118770011.0,1494522681791.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,-,(1.199.328.000),,-1199328000.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,
Doanh thu thuần về bán điện,Doanh thu thuần > Doanh thu thuần về bán điện,Doanh thu thuần về bán điện,1.367.392.516.486,1.249.420.657.995,1367392516486.0,1249420657995.0
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần > Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,11.426.568.513,31.135.057.297,11426568513.0,31135057297.0
Doanh thu thuần từ hợp đồng xây dựng,Doanh thu thuần > Doanh thu thuần từ hợp đồng xây dựng,Doanh thu thuần từ hợp đồng xây dựng,1.223.176.899,22.816.106.661,1223176899.0,22816106661.0
Doanh thu thuần về bán hàng hóa,Doanh thu thuần > Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng hóa,1.076.508.113,189.951.531.838,1076508113.0,189951531838.0
,,,1.381.118.770.011,1.493.323.353.791,1381118770011.0,1493323353791.0
