row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Dự án điện mặt trời,Dự án điện mặt trời,Dự án điện mặt trời,,,,
Đức Huệ - Long An 2 (i),Dự án điện mặt trời > Đức Huệ - Long An 2 (i),Đức Huệ - Long An 2 (i),259.222.135.182,226.044.981.606,259222135182.0,226044981606.0
Hàm Phú 1,Dự án điện mặt trời > Hàm Phú 1,Hàm Phú 1,8.831.117.103,8.831.117.103,8831117103.0,8831117103.0
Dự án điện gió,Dự án điện gió,Dự án điện gió,,,,
VPL (ii),Dự án điện gió > VPL (ii),VPL (ii),122.888.584.399,198.420.802.958,122888584399.0,198420802958.0
Ia Bang,Dự án điện gió > Ia Bang,Ia Bang,-,55.374.070.719,,55374070719.0
Tân Phú Đông 1 (iii),Dự án điện gió > Tân Phú Đông 1 (iii),Tân Phú Đông 1 (iii),98.083.038.204,22.693.923.111,98083038204.0,22693923111.0
Tân Phú Đông 2,Dự án điện gió > Tân Phú Đông 2,Tân Phú Đông 2,-,10.390.289.262,,10390289262.0
Khác,Dự án điện gió > Khác,Khác,4.612.946.364,15.852.546.364,4612946364.0,15852546364.0
Dự án điện mặt trời áp mái,Dự án điện gió > Dự án điện mặt trời áp mái,Dự án điện mặt trời áp mái,1.441.214.363,811.606.101,1441214363.0,811606101.0
Các dự án khác,Dự án điện gió > Các dự án khác,Các dự án khác,4.017.844.639,2.997.557.539,4017844639.0,2997557539.0
,,,499.096.880.254,541.416.894.763,499096880254.0,541416894763.0
