row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,368.715.667.090,308.586.244.471,368715667090.0,308586244471.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,35.178.905.197,22.413.110.600,35178905197.0,22413110600.0
Thay đổi của các khoảng chênh lệch tạm thời,Điều chỉnh: > Thay đổi của các khoảng chênh lệch tạm thời,Thay đổi của các khoảng chênh lệch tạm thời,(6.851.693.330),(2.527.916.425),-6851693330.0,-2527916425.0
Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,Điều chỉnh: > Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,2.615.904.705,2.805.788.511,2615904705.0,2805788511.0
Lỗ tính thuế không ghi nhận tài sản thuế TNDN hoãn lại năm trước và được sử dụng năm nay,Điều chỉnh: > Lỗ tính thuế không ghi nhận tài sản thuế TNDN hoãn lại năm trước và được sử dụng năm nay,Lỗ tính thuế không ghi nhận tài sản thuế TNDN hoãn lại năm trước và được sử dụng năm nay,(2.723.246.152),-,-2723246152.0,
Thu nhập chịu thuế ước tính,Điều chỉnh: > Thu nhập chịu thuế ước tính,Thu nhập chịu thuế ước tính,396.935.537.510,331.277.227.157,396935537510.0,331277227157.0
Thuế tính ở thuế suất 20%,Điều chỉnh: > Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,49.063.999.402,17.716.298.655,49063999402.0,17716298655.0
Thuế tính ở thuế suất 10%,Điều chỉnh: > Thuế tính ở thuế suất 10%,Thuế tính ở thuế suất 10%,12.897.825.989,23.056.730.995,12897825989.0,23056730995.0
Thuế được miễn hoặc giảm,Điều chỉnh: > Thuế được miễn hoặc giảm,Thuế được miễn hoặc giảm,(18.484.326.382),(27.149.640.430),-18484326382.0,-27149640430.0
Dự phòng thừa của các năm trước,Điều chỉnh: > Dự phòng thừa của các năm trước,Dự phòng thừa của các năm trước,(195.626.621),-,-195626621.0,
Chi phí thuế TNDN (*),Điều chỉnh: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),43.281.872.388,13.623.389.220,43281872388.0,13623389220.0
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất,,
Thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,44.652.211.054,14.128.972.505,44652211054.0,14128972505.0
Thuế TNDN - hoãn lại (Thuyết minh 22),Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất > Thuế TNDN - hoãn lại (Thuyết minh 22),Thuế TNDN - hoãn lại (Thuyết minh 22),(1.370.338.666),(505.583.285),-1370338666.0,-505583285.0
,,,43.281.872.388,13.623.389.220,43281872388.0,13623389220.0
