row_label_raw,row_label_full,Hội đồng Quản trị,Hội đồng Quản trị_1,Hội đồng Quản trị_2,numeric__Hội đồng Quản trị_1,numeric__Hội đồng Quản trị_2
,,,Ông Tân Xuân Hiến,Chủ tịch,,
,,,Bà Nguyễn Thùy Vân,Thành viên độc lập,,
,,,Ông Deepak C. Khanna,Thành viên,,
,,,Bà Phạm Thị Khuê,Thành viên độc lập,,
,,,Ông Nguyễn Thế Vinh,Thành viên,,
,,,,(từ ngày 29 tháng 4 năm 2021),,
,,,Ông Đặng Huỳnh Anh Tuấn,Thành viên,,
,,,,(từ ngày 29 tháng 4 năm 2021),,
,,,Ông Phạm Hồng Dương,Thành viên độc lập,,
,,,,(đến ngày 29 tháng 4 năm 2021),,
