row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4)
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,63.678.842.259,80.701.629.284,63678842259.0,80701629284.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,-,31.636.370.217,,31636370217.0
Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,345.193.307,5.500.469.721,345193307.0,5500469721.0
Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,-,40.853.051.200,,40853051200.0
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,-,-,,
Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh > Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,30.863.000,130.865.799,30863000.0,130865799.0
Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh > Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,-,23.148.264,,23148264.0
,,,64.054.898.566,158.845.534.485,64054898566.0,158845534485.0
Trà trước cho người bán ngắn hạn (Thuyết minh 5),Trà trước cho người bán ngắn hạn (Thuyết minh 5),Trà trước cho người bán ngắn hạn (Thuyết minh 5),Trà trước cho người bán ngắn hạn (Thuyết minh 5),Trà trước cho người bán ngắn hạn (Thuyết minh 5),,
Công ty Cổ phần Năng lượng TTC,Trà trước cho người bán ngắn hạn (Thuyết minh 5) > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,13.329.360,-,13329360.0,
Công ty Cổ phần Xuất nhập khẩu Tân Định,Trà trước cho người bán ngắn hạn (Thuyết minh 5) > Công ty Cổ phần Xuất nhập khẩu Tân Định,Công ty Cổ phần Xuất nhập khẩu Tân Định,11.244.523,-,11244523.0,
,,,24.573.883,-,24573883.0,
Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu về cho vay ngắn hạn (Thuyết minh 6) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,178.175.900.000,69.200.397.839,178175900000.0,69200397839.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Phải thu về cho vay ngắn hạn (Thuyết minh 6) > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,71.000.000.000,71.000.000.000,71000000000.0,71000000000.0
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Phải thu về cho vay ngắn hạn (Thuyết minh 6) > Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,4.000.000.000,4.000.000.000,4000000000.0,4000000000.0
,,,253.175.900.000,144.200.397.839,253175900000.0,144200397839.0
Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,20.335.582.609,112.239.425.791,20335582609.0,112239425791.0
