row_label_raw,row_label_full,Thành viên Hội đồngQuản trị,col_1,Năm nayVND,Năm trướcVND,numeric__col_1,numeric__Năm nayVND,numeric__Năm trướcVND
Tân Xuân Hiến,Tân Xuân Hiến,Tân Xuân Hiến,Chủ tịch,390.000.000,390.000.000,,390000000.0,390000000.0
Deepak C.Khanna,Deepak C.Khanna,Deepak C.Khanna,Thành viên,260.000.000,143.722.223,,260000000.0,143722223.0
Nguyễn Thế Vinh,Nguyễn Thế Vinh,Nguyễn Thế Vinh,Thành viên,179.259.259,-,,179259259.0,
Đặng Huỳnh Anh Tuấn,Đặng Huỳnh Anh Tuấn,Đặng Huỳnh Anh Tuấn,Thành viên,179.259.259,-,,179259259.0,
Phạm Hồng Dương,Phạm Hồng Dương,Phạm Hồng Dương,Thành viên,78.666.667,143.722.223,,78666667.0,143722223.0
Phạm Thị Khuệ,Phạm Thị Khuệ,Phạm Thị Khuệ,Thành viên,260.000.000,143.722.223,,260000000.0,143722223.0
Nguyễn Thùy Vân,Nguyễn Thùy Vân,Nguyễn Thùy Vân,Thành viên,260.000.000,260.000.000,,260000000.0,260000000.0
Jean-Paul Pinard,Jean-Paul Pinard,Jean-Paul Pinard,Thành viên,-,78.666.667,,,78666667.0
Andrew Mark Affleck,Andrew Mark Affleck,Andrew Mark Affleck,Thành viên,-,214.666.667,,,214666667.0
Phạm Ngọc Thanh Mai,Phạm Ngọc Thanh Mai,Phạm Ngọc Thanh Mai,Thành viên,-,104.666.667,,,104666667.0
Chủ tịch và BanTổng Giám đốc,Chủ tịch và BanTổng Giám đốc,Chủ tịch và BanTổng Giám đốc,Chủ tịch và BanTổng Giám đốc,Chủ tịch và BanTổng Giám đốc,Chủ tịch và BanTổng Giám đốc,,,
Tân Xuân Hiến,Chủ tịch và BanTổng Giám đốc > Tân Xuân Hiến,Tân Xuân Hiến,Chủ tịch,1.909.586.313,1.899.452.667,,1909586313.0,1899452667.0
Nguyễn Thái Hà,Chủ tịch và BanTổng Giám đốc > Nguyễn Thái Hà,Nguyễn Thái Hà,Tổng Giám đốc,2.659.090.042,2.570.568.583,,2659090042.0,2570568583.0
Lê Thanh Vinh,Chủ tịch và BanTổng Giám đốc > Lê Thanh Vinh,Lê Thanh Vinh,Phó Tổng Giám đốc,2.098.459.417,2.041.740.283,,2098459417.0,2041740283.0
Nguyễn Phong Phú,Chủ tịch và BanTổng Giám đốc > Nguyễn Phong Phú,Nguyễn Phong Phú,Phó Tổng Giám đốc,939.930.167,-,,939930167.0,
Hà Nguyên Hoàng,Chủ tịch và BanTổng Giám đốc > Hà Nguyên Hoàng,Hà Nguyên Hoàng,Phó Tổng Giám đốc,-,1.141.892.400,,,1141892400.0
Nguyễn Lê Hùng,Chủ tịch và BanTổng Giám đốc > Nguyễn Lê Hùng,Nguyễn Lê Hùng,Phó Tổng Giám đốc,-,189.015.000,,,189015000.0
Nguyễn Đình Tuấn,Chủ tịch và BanTổng Giám đốc > Nguyễn Đình Tuấn,Nguyễn Đình Tuấn,Phó Tổng Giám đốc,-,483.988.000,,,483988000.0
Phan Thanh Lạc,Chủ tịch và BanTổng Giám đốc > Phan Thanh Lạc,Phan Thanh Lạc,Phó Tổng Giám đốc,-,529.853.591,,,529853591.0
Trần Thị Hồng Thẩm,Chủ tịch và BanTổng Giám đốc > Trần Thị Hồng Thẩm,Trần Thị Hồng Thẩm,Giám đốc tài chính,1.209.060.000,1.033.908.912,,1209060000.0,1033908912.0
,,,,10.423.311.124,11.369.586.106,,10423311124.0,11369586106.0
