row_label_raw,row_label_full,Nhóm An Phú,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty liên quan,Lãi cho vay Chi trả hộ,157.007.722 2.619.183,143.698.819 2.440.389,,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Phú Hoàng Anh > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Lãi cho vay,156.386.695,35.315.530,,,156386695.0,35315530.0
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Phú Hoàng Anh > Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,Lãi cho vay,-,844.300.839,,,,844300839.0
Công ty TNHH An Tiến,Công ty Cổ phần Phú Hoàng Anh > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Lãi cho vay Chi trả hộ,21.806.304,17.652.375 406.274,,,21806304.0,
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty Cổ phần Phú Hoàng Anh > Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty liên quan,Lãi cho vay,21.557.241,13.122.719,,,21557241.0,13122719.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty Cổ phần Phú Hoàng Anh > Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty liên quan,Lãi cho vay,18.228.000,-,,,18228000.0,
Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Phú Hoàng Anh > Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty liên quan,Chi trả hộ,12.624.059,12.624.059,,,12624059.0,12624059.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Phú Hoàng Anh > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Chi trả hộ,2.556.565,2.530.531,,,2556565.0,2530531.0
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Phú Hoàng Anh > Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,Lãi cho vay,17.255,2.728.820,,,17255.0,2728820.0
Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty Cổ phần Phú Hoàng Anh > Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty liên quan,Lãi cho vay,-,23.465.186,,,,23465186.0
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty Cổ phần Phú Hoàng Anh > Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty liên quan,Lãi cho vay,-,10.406.208,,,,10406208.0
TỔNG CỘNG,Công ty Cổ phần Phú Hoàng Anh > TỔNG CỘNG,TỔNG CỘNG,,,392.803.024,1.108.691.749,,,392803024.0,1108691749.0
