row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Người mua trả tiền trước ngắn hạn (TM số 16) (tiếp theo),Người mua trả tiền trước ngắn hạn (TM số 16) (tiếp theo),Người mua trả tiền trước ngắn hạn (TM số 16) (tiếp theo),Người mua trả tiền trước ngắn hạn (TM số 16) (tiếp theo),Người mua trả tiền trước ngắn hạn (TM số 16) (tiếp theo),Người mua trả tiền trước ngắn hạn (TM số 16) (tiếp theo),Người mua trả tiền trước ngắn hạn (TM số 16) (tiếp theo),,,,
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Người mua trả tiền trước ngắn hạn (TM số 16) (tiếp theo) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Nhận ứng trước tiền mua hàng hóa,653.839,-,,,653839.0,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Người mua trả tiền trước ngắn hạn (TM số 16) (tiếp theo) > Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty liên quan,Nhận ứng trước tiền mua hàng hóa,4.832.882,-,,,4832882.0,
TỔNG CỘNG,Người mua trả tiền trước ngắn hạn (TM số 16) (tiếp theo) > TỔNG CỘNG,TỔNG CỘNG,,,423.568.992,1.140.521.561,,,423568992.0,1140521561.0
Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),Phải trả ngắn hạn khác (TM số 19),,,,
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty con,Chi trả hộ,11.786.059,11.786.059,,,11786059.0,11786059.0
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty con,Chi trả hộ,121.278.142,122.224.022,,,121278142.0,122224022.0
Công ty Cổ phần Cao su Trung Nguyên,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Vay mượn tạm,-,256.502.907,,,,256502907.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,Chi trả hộ,2.105.085,2.065.085,,,2105085.0,2065085.0
Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty Cổ phần Thế thao Hoàng Anh Gia Lai,Công ty con,Chi trả hộ,13.396.900,13.396.900,,,13396900.0,13396900.0
Công ty TNHH Hoàng Anh Gia Lai Vientiane,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH Hoàng Anh Gia Lai Vientiane,Công ty TNHH Hoàng Anh Gia Lai Vientiane,Công ty con,Chi trả hộ,22.769.750,22.769.750,,,22769750.0,22769750.0
Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (TM số 19) > Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Công ty con,Vay mượn tạm Chi trả hộ,- 6.051.722,126.169.374 6.051.722,,,-6051722.0,
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải trả ngắn hạn khác (TM số 19) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Chi trả hộ,3.808.366,3.808.366,,,3808366.0,3808366.0
