row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Ngàn VND Số cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Trái phiếu hoán đổi (TM số 20.2),Vay ngắn hạn > Trái phiếu hoán đổi (TM số 20.2),Trái phiếu hoán đổi (TM số 20.2),1.130.000.000,-,(1.130.000.000),-,1130000000.0,,-1130000000.0,
Vay dài hạn ngân hàng đến hạn trả (TM số 20.1),Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả (TM số 20.1),Vay dài hạn ngân hàng đến hạn trả (TM số 20.1),25.000.000,25.000.000,(25.000.000),25.000.000,25000000.0,25000000.0,-25000000.0,25000000.0
Trái phiếu chuyển đổi (TM số 20.4),Vay ngắn hạn > Trái phiếu chuyển đổi (TM số 20.4),Trái phiếu chuyển đổi (TM số 20.4),1.100.000.000,-,(1.100.000.000),-,1100000000.0,,-1100000000.0,
Trái phiếu thường đến hạn trả (TM số 20.3),Vay ngắn hạn > Trái phiếu thường đến hạn trả (TM số 20.3),Trái phiếu thường đến hạn trả (TM số 20.3),518.199.648,99.640.692,(303.458.467),314.381.873,518199648.0,99640692.0,-303458467.0,314381873.0
,,,2.773.199.648,124.640.692,(2.558.458.467),339.381.873,2773199648.0,124640692.0,-2558458467.0,339381873.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Vay dài hạn ngân hàng (TM số 20.1),Vay dài hạn > Vay dài hạn ngân hàng (TM số 20.1),Vay dài hạn ngân hàng (TM số 20.1),875.275.808,-,(25.301.302),849.974.506,875275808.0,,-25301302.0,849974506.0
Trái phiếu thường (TM số 20.3),Vay dài hạn > Trái phiếu thường (TM số 20.3),Trái phiếu thường (TM số 20.3),9.696.118.988,22.090.839,(782.731.959),8.935.477.868,9696118988.0,22090839.0,-782731959.0,8935477868.0
Vay dài hạn bên liên quan (TM số 20.5),Vay dài hạn > Vay dài hạn bên liên quan (TM số 20.5),Vay dài hạn bên liên quan (TM số 20.5),-,611.536.166,(15.213.680),596.322.486,,611536166.0,-15213680.0,596322486.0
,,,10.571.394.796,633.627.005,(823.246.941),10.381.774.860,10571394796.0,633627005.0,-823246941.0,10381774860.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,13.344.594.444,758.267.697,(3.381.705.408),10.721.156.733,13344594444.0,758267697.0,-3381705408.0,10721156733.0
