row_label_raw,row_label_full,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,Nhận ứng trước dịch vụ xây dựng,-,306.020.992,numeric__Công ty con,numeric__Nhận ứng trước dịch vụ xây dựng,numeric__-,numeric__306.020.992
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Nhận ứng trước dịch vụ xây dựng,194.864.544,193.716.544,,,194864544.0,193716544.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,Nhận ứng trước tiền mua hàng hóa,206.939,122.231.030,,,206939.0,122231030.0
Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Nhận ứng trước tiền mua hàng hóa,-,140.157.988,,,,140157988.0
Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Nhận ứng trước tiền mua hàng hóa,47.256.000,98.159.761,,,47256000.0,98159761.0
Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Công ty con,Nhận ứng trước tiền mua hàng hóa,26.717.254,51.419.034,,,26717254.0,51419034.0
Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty TNHH Hoàng Anh An Đông Meas,Công ty con,Nhận ứng trước tiền mua hàng hóa,60.081.345,109.223.907,,,60081345.0,109223907.0
Công ty TNHH MTV Hoàng Anh Lumphat,Công ty TNHH MTV Hoàng Anh Lumphat,Công ty TNHH MTV Hoàng Anh Lumphat,Công ty con,Nhận ứng trước tiền mua hàng hóa,-,31.430.152,,,,31430152.0
Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Nhận ứng trước tiền mua hàng hóa,57.253.289,57.253.289,,,57253289.0,57253289.0
Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Nhận ứng trước dịch vụ xây dựng,31.518.811,30.800.000,,,31518811.0,30800000.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Nhận ứng trước tiền mua hàng hóa,184.089,108.864,,,184089.0,108864.0
