row_label_raw,row_label_full,Nhóm An Phú (*),Các công ty liên quan,(*),193.067.949,25.182.709,numeric__Các công ty liên quan,numeric__(*),numeric__193.067.949,numeric__25.182.709
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Chi trả hộ Lãi cho vay,168.410.716 150.047.977,123.426.562 41.348.533,,,,
Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,Phải thu về HĐHTKD Lãi cho vay,514.788.889 3.557.774,493.211.100 -,,,,
Ông Đoàn Nguyên Đức,Công ty Cổ phần An Đông Mia > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chữ tịch HĐQT,Lãi cho vay,-,7.789.280,,,,7789280.0
