row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,107.875.868,86.694.242,107875868.0,86694242.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
NETAFIM LTD,Trong đó: > NETAFIM LTD,NETAFIM LTD,19.397.914,2.558.074,19397914.0,2558074.0
Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Trong đó: > Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất nhập khẩu Hoàng Anh Gia Lai,15.558.037,15.372.931,15558037.0,15372931.0
Người bán khác,Trong đó: > Người bán khác,Người bán khác,72.919.917,68.763.237,72919917.0,68763237.0
Phải trả tiền mua máy móc thiết bị,Trong đó: > Phải trả tiền mua máy móc thiết bị,Phải trả tiền mua máy móc thiết bị,-,50.001,,50001.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,107.875.868,86.744.243,107875868.0,86744243.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,69.645.254,56.905.641,69645254.0,56905641.0
Phải trả các bên liên quan (TM số 27.2),Trong đó: > Phải trả các bên liên quan (TM số 27.2),Phải trả các bên liên quan (TM số 27.2),38.230.614,29.838.602,38230614.0,29838602.0
