row_label_raw,row_label_full,"Tổ chức thu xếp phát hành > BIDV và Công ty TNHH Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"")",Số cuối năm > 5.876.000.000,Ngàn VND Số đầu năm > 6.546.000.000,numeric__Số cuối năm > 5.876.000.000,numeric__Ngàn VND Số đầu năm > 6.546.000.000
"Công ty TNHH Chứng khoán ACB (""ACBS"")","Công ty TNHH Chứng khoán ACB (""ACBS"")","Công ty TNHH Chứng khoán ACB (""ACBS"")",756.649.915,1.060.108.381,756649915.0,1060108381.0
"Công ty Cổ phần Chứng khoán Phú Gia (""PHUGIASC"")","Công ty Cổ phần Chứng khoán Phú Gia (""PHUGIASC"")","Công ty Cổ phần Chứng khoán Phú Gia (""PHUGIASC"")",930.000.000,930.000.000,930000000.0,930000000.0
"Công ty Chứng khoán Ngân hàng Việt Nam Thịnh Vượng (""VPBS"")","Công ty Chứng khoán Ngân hàng Việt Nam Thịnh Vượng (""VPBS"")","Công ty Chứng khoán Ngân hàng Việt Nam Thịnh Vượng (""VPBS"")",991.000.000,1.000.000.000,991000000.0,1000000000.0
"Công ty Cổ phần Chứng khoán IB (""IBSC"")","Công ty Cổ phần Chứng khoán IB (""IBSC"")","Công ty Cổ phần Chứng khoán IB (""IBSC"")",183.000.000,183.000.000,183000000.0,183000000.0
"Công ty Cổ phần Chứng khoán FPT (""FPTS"") và Ngân hàng TMCP Việt Nam Thịnh Vượng (""VPB"")","Công ty Cổ phần Chứng khoán FPT (""FPTS"") và Ngân hàng TMCP Việt Nam Thịnh Vượng (""VPB"")","Công ty Cổ phần Chứng khoán FPT (""FPTS"") và Ngân hàng TMCP Việt Nam Thịnh Vượng (""VPB"")",594.000.000,600.000.000,594000000.0,600000000.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(80.790.174),(104.789.745),-80790174.0,-104789745.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,9.249.859.741,10.214.318.636,9249859741.0,10214318636.0
Trong đó:,Trong đó:,Trong đó:,,,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,8.935.477.868,9.696.118.988,8935477868.0,9696118988.0
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,314.381.873,518.199.648,314381873.0,518199648.0
