row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,(469.873.171),5.219.511,-469873171.0,5219511.0
Thuế TNDN theo thuế suất phổ thông áp dụng,Thuế TNDN theo thuế suất phổ thông áp dụng,Thuế TNDN theo thuế suất phổ thông áp dụng,(93.974.634),1.043.902,-93974634.0,1043902.0
Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán,,,,
Các khoản phạt,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Các khoản phạt,Các khoản phạt,3.031.544,1.464.411,3031544.0,1464411.0
Các chi phí không được khấu trừ,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Các chi phí không được khấu trừ,Các chi phí không được khấu trừ,253.414,1.556.368,253414.0,1556368.0
Lãi chênh lệch tỷ giá hối đoái,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Lãi chênh lệch tỷ giá hối đoái,Lãi chênh lệch tỷ giá hối đoái,4.266.681,-,4266681.0,
Thuế TNDN từ chuyển nhượng căn hộ,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Thuế TNDN từ chuyển nhượng căn hộ,Thuế TNDN từ chuyển nhượng căn hộ,912.141,-,912141.0,
Khác,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Khác,Khác,(24.000),95.503,-24000.0,95503.0
Lỗ thuế chuyển sang năm sau,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Lỗ thuế chuyển sang năm sau,Lỗ thuế chuyển sang năm sau,90.713.676,-,90713676.0,
Chi phí thuế TNDN,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Chi phí thuế TNDN,Chi phí thuế TNDN,5.178.822,4.160.184,5178822.0,4160184.0
Điều chỉnh thuế TNDN trích thừa (thiếu) trong năm trước,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Điều chỉnh thuế TNDN trích thừa (thiếu) trong năm trước,Điều chỉnh thuế TNDN trích thừa (thiếu) trong năm trước,-,676.279,,676279.0
Chi phí thuế TNDN,Các khoản điều chỉnh tăng (giảm) lợi nhuận kế toán > Chi phí thuế TNDN,Chi phí thuế TNDN,5.178.822,4.836.463,5178822.0,4836463.0
