row_label_raw,row_label_full,col_0,Ngàn VND,Ngàn VND_1,numeric__Ngàn VND,numeric__Ngàn VND_1
,,,Năm nay,Năm trước,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,223.540.379,564.854.296,223540379.0,564854296.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Doanh thu bán sản phẩm, hàng hóa","Trong đó: > Doanh thu bán sản phẩm, hàng hóa","Doanh thu bán sản phẩm, hàng hóa",100.666.338,268.526.346,100666338.0,268526346.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,88.453.870,130.449.414,88453870.0,130449414.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,29.246.483,33.673.374,29246483.0,33673374.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,5.173.688,67.727.562,5173688.0,67727562.0
Doanh thu bán bắt động sản đầu tư,Trong đó: > Doanh thu bán bắt động sản đầu tư,Doanh thu bán bắt động sản đầu tư,-,64.477.600,,64477600.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,112.791.963,243.049.202,112791963.0,243049202.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,110.748.416,321.805.094,110748416.0,321805094.0
