row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,Phải thu về bán hàng và cung cấp dịch vụ,99.290.420,237.669.545,99290420.0,237669545.0
Phải thu từ dịch vụ xây dựng,Phải thu từ dịch vụ xây dựng,Phải thu từ dịch vụ xây dựng,145.140.765,104.705.886,145140765.0,104705886.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Công ty TNHH MTV Xây lắp Điện,Trong đó: > Công ty TNHH MTV Xây lắp Điện,Công ty TNHH MTV Xây lắp Điện,65.325.049,81.912.929,65325049.0,81912929.0
Khách hàng khác,Trong đó: > Khách hàng khác,Khách hàng khác,79.815.716,22.792.957,79815716.0,22792957.0
Phải thu tiền bán căn hộ,Trong đó: > Phải thu tiền bán căn hộ,Phải thu tiền bán căn hộ,6.191.043,9.550.873,6191043.0,9550873.0
Phải thu về thanh lý tài sản và bất động sản đầu tư,Trong đó: > Phải thu về thanh lý tài sản và bất động sản đầu tư,Phải thu về thanh lý tài sản và bất động sản đầu tư,-,6.917.973,,6917973.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,250.622.228,358.844.277,250622228.0,358844277.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu các bên liên quan (TM số 27.2),Trong đó: > Phải thu các bên liên quan (TM số 27.2),Phải thu các bên liên quan (TM số 27.2),169.292.304,227.116.109,169292304.0,227116109.0
Phải thu các bên khác,Trong đó: > Phải thu các bên khác,Phải thu các bên khác,81.329.924,131.728.168,81329924.0,131728168.0
