row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Lãi suất (%/năm),Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Lãi suất (%/năm),numeric__Số cuối năm,numeric__Số đầu năm
Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),Phải thu về cho vay dài hạn (TM số 7),,,,
Nhóm An Phú (*),Phải thu về cho vay dài hạn (TM số 7) > Nhóm An Phú (*),Nhóm An Phú (*),Các công ty liên quan,(*),3.599.259.475,1.145.711.064,,,3599259475.0,1145711064.0
Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Công ty con,"11,93% - 14%",1.957.824.733,5.209.360.533,,,1957824733.0,5209360533.0
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty con,12% - 15%,1.514.041.568,397.409.844,,,1514041568.0,397409844.0
Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Công ty Cổ phần Cao su Hoàng Anh – Quang Minh,Công ty con,"9,75% - 12,5%",1.408.413.314,1.392.234.500,,,1408413314.0,1392234500.0
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,8%,1.367.079.207,1.321.977.971,,0.08,1367079207.0,1321977971.0
Công ty Cổ phần Cao su Trung Nguyên,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,10%,58.001.920,350.000.000,,0.1,58001920.0,350000000.0
Công ty TNHH Khoáng sản Hoàng Anh GL - Kon Tum,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Khoáng sản Hoàng Anh GL - Kon Tum,Công ty TNHH Khoáng sản Hoàng Anh GL - Kon Tum,Công ty con,0%,53.092.286,53.092.286,,0.0,53092286.0,53092286.0
Công ty Cổ phần An Đông Mia,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần An Đông Mia,Công ty Cổ phần An Đông Mia,Công ty con,10%,34.007.539,34.007.539,,0.1,34007539.0,34007539.0
Công ty Cổ phần Bò sữa Tây Nguyên,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Bò sữa Tây Nguyên,Công ty Cổ phần Bò sữa Tây Nguyên,Công ty con,10% - 12%,31.376.192,673.076.978,,,31376192.0,673076978.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,"6% – 10,5%",30.560.000,265.198.198,,,30560000.0,265198198.0
Công ty TNHH Hoàng Anh Oyadav,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,0%,10.578.565,10.165.504,,0.0,10578565.0,10165504.0
Công ty TNHH Hoàng Anh Rattanakiri,Phải thu về cho vay dài hạn (TM số 7) > Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,0%,7.526.320,7.544.584,,0.0,7526320.0,7544584.0
Công ty Cổ phần IAPACCO,Phải thu về cho vay dài hạn (TM số 7) > Công ty Cổ phần IAPACCO,Công ty Cổ phần IAPACCO,Công ty liên quan,0%,6.123.820,-,,0.0,6123820.0,
