row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,"Phương tiệnvận tải,truyền dẫn",Thiết bịvăn phòng,Vườn câylâu năm,Tài sànkhác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,"numeric__Phương tiệnvận tải,truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Vườn câylâu năm,numeric__Tài sànkhác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,239.118.033,40.372.709,37.333.284,3.018.364,6.689.440,108.060,326.639.890,239118033.0,40372709.0,37333284.0,3018364.0,6689440.0,108060.0,326639890.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,12.151.509,1.973.942,1.470.193,-,-,-,15.595.644,12151509.0,1973942.0,1470193.0,,,,15595644.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(2.921.325),(1.129.267),(929.376),-,-,-,(4.979.968),-2921325.0,-1129267.0,-929376.0,,,,-4979968.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,248.348.217,41.217.384,37.874.101,3.018.364,6.689.440,108.060,337.255.566,248348217.0,41217384.0,37874101.0,3018364.0,6689440.0,108060.0,337255566.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,(49.866.477),(20.364.516),(20.189.648),(2.191.721),(5.730.206),(40.525),(98.383.093),-49866477.0,-20364516.0,-20189648.0,-2191721.0,-5730206.0,-40525.0,-98383093.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,(8.289.398),(4.160.809),(3.607.284),(358.561),(959.234),(18.009),(17.393.295),-8289398.0,-4160809.0,-3607284.0,-358561.0,-959234.0,-18009.0,-17393295.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,93.560,404.953,929.376,-,-,-,1.427.889,93560.0,404953.0,929376.0,,,,1427889.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,(58.062.315),(24.120.372),(22.867.556),(2.550.282),(6.689.440),(58.534),(114.348.499),-58062315.0,-24120372.0,-22867556.0,-2550282.0,-6689440.0,-58534.0,-114348499.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,189.251.556,20.008.193,17.143.636,826.643,959.234,67.535,228.256.797,189251556.0,20008193.0,17143636.0,826643.0,959234.0,67535.0,228256797.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,190.285.902,17.097.012,15.006.545,468.082,-,49.526,222.907.067,190285902.0,17097012.0,15006545.0,468082.0,,49526.0,222907067.0
Trong đó:Theế chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhẩu hao hết,Giá trị còn lại > Trong đó:Theế chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhẩu hao hết,Trong đó:Theế chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhẩu hao hết,190.285.902,17.097.012,15.006.545,-,-,-,222.389.459,190285902.0,17097012.0,15006545.0,,,,222389459.0
Trong đó:Theế chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhẩu hao hết,Giá trị còn lại > Trong đó:Theế chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhẩu hao hết,Trong đó:Theế chấp/cầm cố đề đảm bảo chocác khoản vay của công ty conGiá trị nguyên giá của tài sản đãkhẩu hao hết,112.993,2.051.311,6.308.951,980.567,6.689.440,-,16.143.262,112993.0,2051311.0,6308951.0,980567.0,6689440.0,,16143262.0
