row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Lãi suất (%/năm),Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Lãi suất (%/năm),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo),Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo),Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo),Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo),Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo),Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo),Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo),,,,
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty con,14% - 15%,-,40.000.000,,,,40000000.0
Công ty TNHH Mía Đường Hoàng Anh Atapeu,Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo) > Công ty TNHH Mía Đường Hoàng Anh Atapeu,Công ty TNHH Mía Đường Hoàng Anh Atapeu,Công ty con,-,-,14.500.000,,,,14500000.0
Công ty Cổ phần Hoàng Anh Đắk Lắk,Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo) > Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty Cổ phần Hoàng Anh Đắk Lắk,Công ty con,"9,75% - 12%",-,2.000.000,,,,2000000.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (TM số 7) (tiếp theo) > TỔNG CỘNG,TỔNG CỘNG,,,3.289.261.972,1.966.950.084,,,3289261972.0,1966950084.0
