row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tỷ lệ sở hữu (%),Giá gốc đầu tư (Ngàn VND),Dự phòng (Ngàn VND),Tỷ lệ sở hữu (%),Giá gốc đầu tư (Ngàn VND),Dự phòng (Ngàn VND),,,,,,,
Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,Đầu tư vào công ty con:,,,,,,,
"Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"")","Đầu tư vào công ty con: > Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"")","Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (""HNG"")","Trồng cây công nghiệp và nông nghiệp, chăn nuôi bò","63,70",4.723.806.841,-,"70,45",5.224.484.938,-,,63.7,4723806841.0,,70.45,5224484938.0,
"Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh (""HAN"")","Đầu tư vào công ty con: > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh (""HAN"")","Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh (""HAN"")",Bất động sản,"68,90",3.253.537.647,-,"68,90",3.253.537.647,-,,68.9,3253537647.0,,68.9,3253537647.0,
"Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai (""Thủy điện HAGL"")","Đầu tư vào công ty con: > Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai (""Thủy điện HAGL"")","Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai (""Thủy điện HAGL"")",Năng lượng,"99,40",2.532.179.575,(510.483.865),"99,40",2.532.179.575,-,,99.4,2532179575.0,-510483865.0,99.4,2532179575.0,
"Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai (""Bệnh viện HAGL"")","Đầu tư vào công ty con: > Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai (""Bệnh viện HAGL"")","Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai (""Bệnh viện HAGL"")",Bệnh viện,"99,00",99.000.000,-,"99,00",99.000.000,-,,99.0,99000000.0,,99.0,99000000.0,
"Công ty Cổ phần Thể thao Hoàng Anh Gia Lai (""Thể thao HAGL"")","Đầu tư vào công ty con: > Công ty Cổ phần Thể thao Hoàng Anh Gia Lai (""Thể thao HAGL"")","Công ty Cổ phần Thể thao Hoàng Anh Gia Lai (""Thể thao HAGL"")",Câu lạc bộ bóng đá,"51,00",59.000.000,(59.000.000),"51,00",59.000.000,(59.000.000),,51.0,59000000.0,-59000000.0,51.0,59000000.0,-59000000.0
Công ty TNHH V&H Corporation (Lào),Đầu tư vào công ty con: > Công ty TNHH V&H Corporation (Lào),Công ty TNHH V&H Corporation (Lào),Trồng cây cao su,"80,00",26.930.800,(26.930.800),"80,00",26.930.800,(26.930.800),,80.0,26930800.0,-26930800.0,80.0,26930800.0,-26930800.0
"Công ty Cổ phần Quản lý Bất động sản và Khách sạn Hoàng Anh Gia Lai (""BĐS&KS HAGL"")","Đầu tư vào công ty con: > Công ty Cổ phần Quản lý Bất động sản và Khách sạn Hoàng Anh Gia Lai (""BĐS&KS HAGL"")","Công ty Cổ phần Quản lý Bất động sản và Khách sạn Hoàng Anh Gia Lai (""BĐS&KS HAGL"")",Quản lý bất động sản và khách sạn,,-,-,"94,50",977.486,(940.713),,,,,94.5,977486.0,-940713.0
"Công ty TNHH Hoàng Anh Gia Lai Vientiane (""HAGL Vientiane"")","Đầu tư vào công ty con: > Công ty TNHH Hoàng Anh Gia Lai Vientiane (""HAGL Vientiane"")","Công ty TNHH Hoàng Anh Gia Lai Vientiane (""HAGL Vientiane"")",Quản lý bất động sản và khách sạn,"100,00",17.778.990,-,"100,00",17.778.990,-,,100.0,17778990.0,,100.0,17778990.0,
Công ty Cổ phần Thực phẩm Heygo,Đầu tư vào công ty con: > Công ty Cổ phần Thực phẩm Heygo,Công ty Cổ phần Thực phẩm Heygo,Thương mại,"51,00",2.550.000,-,-,-,-,,51.0,2550000.0,,,,
TỔNG CỔNG,Đầu tư vào công ty con: > TỔNG CỔNG,TỔNG CỔNG,,,10.714.783.853,(596.414.665),,11.213.889.436,(86.871.513),,,10714783853.0,-596414665.0,,11213889436.0,-86871513.0
