row_label_raw,row_label_full,Tên công ty con,Trụ sở,Tình trạng hoạt động,Tỷ lệ sở hữu trực tiếp và gián tiếp (%),numeric__Trụ sở,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu trực tiếp và gián tiếp (%)
Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),,,
(10) Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,Lĩnh vực nông nghiệp (tiếp theo) > (10) Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,(10) Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,"Tỉnh Attapeu, Lào",Đang hoạt động,"64,38",,,64.38
(11) Công ty Cổ phần Hoàng Anh Đắk Lắk,Lĩnh vực nông nghiệp (tiếp theo) > (11) Công ty Cổ phần Hoàng Anh Đắk Lắk,(11) Công ty Cổ phần Hoàng Anh Đắk Lắk,"Tỉnh Đắk Lắk, Việt Nam",Đang hoạt động,"65,54",,,65.54
"(12) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HAA"")","Lĩnh vực nông nghiệp (tiếp theo) > (12) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HAA"")","(12) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HAA"")","Tỉnh Attapeu, Lào",Đang hoạt động,"65,85",,,65.85
(13) Công ty TNHH MTV Hoàng Anh An Đông Meas,Lĩnh vực nông nghiệp (tiếp theo) > (13) Công ty TNHH MTV Hoàng Anh An Đông Meas,(13) Công ty TNHH MTV Hoàng Anh An Đông Meas,"Ratanakiri, Campuchia",Đang hoạt động,"38,00",,,38.0
(14) Công ty TNHH Hoàng Anh Oyadav,Lĩnh vực nông nghiệp (tiếp theo) > (14) Công ty TNHH Hoàng Anh Oyadav,(14) Công ty TNHH Hoàng Anh Oyadav,"Ratanakiri, Campuchia",Trước hoạt động,"65,85",,,65.85
(15) Công ty TNHH Heng Brothers,Lĩnh vực nông nghiệp (tiếp theo) > (15) Công ty TNHH Heng Brothers,(15) Công ty TNHH Heng Brothers,"Ratanakiri, Campuchia",Trước hoạt động,"65,85",,,65.85
(16) Công ty TNHH CRD,Lĩnh vực nông nghiệp (tiếp theo) > (16) Công ty TNHH CRD,(16) Công ty TNHH CRD,"Ratanakiri, Campuchia",Trước hoạt động,"65,85",,,65.85
(17) Công ty TNHH Hoàng Anh Rattanakiri,Lĩnh vực nông nghiệp (tiếp theo) > (17) Công ty TNHH Hoàng Anh Rattanakiri,(17) Công ty TNHH Hoàng Anh Rattanakiri,"Ratanakiri, Campuchia",Trước hoạt động,"65,85",,,65.85
(18) Công ty Cổ phần Bò sữa Tây Nguyên,Lĩnh vực nông nghiệp (tiếp theo) > (18) Công ty Cổ phần Bò sữa Tây Nguyên,(18) Công ty Cổ phần Bò sữa Tây Nguyên,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"65,20",,,65.2
