row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Ngàn VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Ngàn VND > Số cuối năm
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,47.981.390,912.141,(3.055.370),45.838.161,47981390.0,912141.0,-3055370.0,45838161.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.962.674,21.116.175,(21.891.531),1.187.318,1962674.0,21116175.0,-21891531.0,1187318.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,785.857,3.299.856,(1.840.341),2.245.372,785857.0,3299856.0,-1840341.0,2245372.0
Thuế và các khoản phải nộp khác cho Nhà nước,Thuế và các khoản phải nộp khác cho Nhà nước,Thuế và các khoản phải nộp khác cho Nhà nước,6.489.334,6.617.973,(1.115.569),11.991.738,6489334.0,6617973.0,-1115569.0,11991738.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,57.219.255,31.946.145,(27.902.811),61.262.589,57219255.0,31946145.0,-27902811.0,61262589.0
