row_label_raw,row_label_full,col_0,Số cổ phiếu phổ thông bình quân gia quyền Số cổ phiếu (Đã điều chỉnh lại),Lãi cơ bản trên cổ phiếu VND (Đã điều chỉnh lại),numeric__Số cổ phiếu phổ thông bình quân gia quyền Số cổ phiếu (Đã điều chỉnh lại),numeric__Lãi cơ bản trên cổ phiếu VND (Đã điều chỉnh lại)
Số báo cáo trước đây Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu để trả cổ tức và phát hành cổ phiếu cho cổ đông hiện hữu theo giá thấp hơn giá thị trường của cổ phiếu,Số báo cáo trước đây Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu để trả cổ tức và phát hành cổ phiếu cho cổ đông hiện hữu theo giá thấp hơn giá thị trường của cổ phiếu,Số báo cáo trước đây Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu để trả cổ tức và phát hành cổ phiếu cho cổ đông hiện hữu theo giá thấp hơn giá thị trường của cổ phiếu,1.722.133.570,1.514,1722133570.0,1514.0
Số báo cáo trước đây Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu để trả cổ tức và phát hành cổ phiếu cho cổ đông hiện hữu theo giá thấp hơn giá thị trường của cổ phiếu,Số báo cáo trước đây Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu để trả cổ tức và phát hành cổ phiếu cho cổ đông hiện hữu theo giá thấp hơn giá thị trường của cổ phiếu,Số báo cáo trước đây Điều chỉnh cho ảnh hưởng của việc phát hành cổ phiếu để trả cổ tức và phát hành cổ phiếu cho cổ đông hiện hữu theo giá thấp hơn giá thị trường của cổ phiếu,586.268.102,(385),586268102.0,-385.0
Số điều chỉnh lại,Số điều chỉnh lại,Số điều chỉnh lại,2.308.401.672,1.129,2308401672.0,1129.0
