row_label_raw,row_label_full,col_0,Triệu VND,Triệu VND_1,Triệu VND_2,Triệu VND_3,Triệu VND_4,numeric__Triệu VND,numeric__Triệu VND_1,numeric__Triệu VND_2,numeric__Triệu VND_3,numeric__Triệu VND_4
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,9.551.349,2.211.909,3.314.580,492.511,15.570.349,9551349.0,2211909.0,3314580.0,492511.0,15570349.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,430.626,30.219,94.831,29.947,585.623,430626.0,30219.0,94831.0,29947.0,585623.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,126.977,2.374,24.460,(10.272),143.539,126977.0,2374.0,24460.0,-10272.0,143539.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,974.955,2.478,10.977,-,988.410,974955.0,2478.0,10977.0,,988410.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,662.990,183.365,10.219,4.773,861.347,662990.0,183365.0,10219.0,4773.0,861347.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",3.750,-,-,-,3.750,3750.0,,,,3750.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(3.270.206),(298.261),(710.809),(126.665),(4.405.941),-3270206.0,-298261.0,-710809.0,-126665.0,-4405941.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,8.480.441,2.132.084,2.744.258,390.294,13.747.077,8480441.0,2132084.0,2744258.0,390294.0,13747077.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(4.332.342),(1.730.974),(1.371.714),(52.005),(7.487.035),-4332342.0,-1730974.0,-1371714.0,-52005.0,-7487035.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,4.148.099,401.110,1.372.544,338.289,6.260.042,4148099.0,401110.0,1372544.0,338289.0,6260042.0
