row_label_raw,row_label_full,col_0,Tỷ giá ngày > 31/12/2021VND,Tỷ giá ngày > 31/12/2020VND,numeric__Tỷ giá ngày > 31/12/2021VND,numeric__Tỷ giá ngày > 31/12/2020VND
USD,USD,USD,22.750,23.120,22750.0,23120.0
EUR,EUR,EUR,25.737,28.391,25737.0,28391.0
GBP,GBP,GBP,30.739,31.591,30739.0,31591.0
CHF,CHF,CHF,24.899,26.225,24899.0,26225.0
JPY,JPY,JPY,198,224,198.0,224.0
SGD,SGD,SGD,16.858,17.481,16858.0,17481.0
AUD,AUD,AUD,16.528,17.831,16528.0,17831.0
HKD,HKD,HKD,2.921,2.982,2921.0,2982.0
CAD,CAD,CAD,17.885,18.139,17885.0,18139.0
LAK,LAK,LAK,"2,036","2,487",2.036,2.487
THB,THB,THB,"683,7","770,0",683.7,770.0
