row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Tại ngày 31 tháng 12 năm 2021","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền BắcTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền TrungTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền NamTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Nước ngoàiTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Tổng cộngTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền BắcTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền TrungTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền NamTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Nước ngoàiTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Tổng cộngTriệu VND"
Tiền mặt và vàng,Tiền mặt và vàng,Tiền mặt và vàng,1.298.723,125.847,390.344,63.379,1.878.293,1298723.0,125847.0,390344.0,63379.0,1878293.0
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,13.397.539,11.724,4.816,937.978,14.352.057,13397539.0,11724.0,4816.0,937978.0,14352057.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,63.550.276,2.525,2.558,576.423,64.131.782,63550276.0,2525.0,2558.0,576423.0,64131782.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,3.245,-,-,-,3.245,3245.0,,,,3245.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,252.448,-,-,-,252.448,252448.0,,,,252448.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,273.161.768,19.334.232,54.476.026,10.806.582,357.778.608,273161768.0,19334232.0,54476026.0,10806582.0,357778608.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,25.104.380,-,197,-,25.104.577,25104380.0,,197.0,,25104577.0
"Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",131.652,-,-,-,131.652,131652.0,,,,131652.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,4.889.441,23.654,55.674,10.209,4.978.978,4889441.0,23654.0,55674.0,10209.0,4978978.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,17.292.858,8.125.927,12.397.661,176.242,37.992.688,17292858.0,8125927.0,12397661.0,176242.0,37992688.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,399.082.330,27.623.909,67.327.276,12.570.813,506.604.328,399082330.0,27623909.0,67327276.0,12570813.0,506604328.0
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,1.510.983,-,-,-,1.510.983,1510983.0,,,,1510983.0
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,71.636.178,10.067,61.838,8.024.467,79.732.550,71636178.0,10067.0,61838.0,8024467.0,79732550.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,248.956.235,19.718.019,56.281.671,2.240.903,327.196.828,248956235.0,19718019.0,56281671.0,2240903.0,327196828.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro",4.952.170,-,-,-,4.952.170,4952170.0,,,,4952170.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,37.821.757,3.974.333,4.496.024,-,46.292.114,37821757.0,3974333.0,4496024.0,,46292114.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,8.980.393,520.376,1.115.198,772.051,11.388.018,8980393.0,520376.0,1115198.0,772051.0,11388018.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,373.857.716,24.222.795,61.954.731,11.037.421,471.072.663,373857716.0,24222795.0,61954731.0,11037421.0,471072663.0
