row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốncổ phầnTriệu VND,Cổ phiếuquỹTriệu VND,Quỹ đầu tưphát triểnTriệu VND,Quỹdự phòngtài chínhTriệu VND,Quỹ dựtrữ bổsung vốnđiều lệTriệu VND,Quỹ khácTriệu VND,Chênhlệchtỷ giáhối đoáiTriệu VND,Lợi nhuậnchưaphân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốncổ phầnTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__Quỹ đầu tưphát triểnTriệu VND,numeric__Quỹdự phòngtài chínhTriệu VND,numeric__Quỹ dựtrữ bổsung vốnđiều lệTriệu VND,numeric__Quỹ khácTriệu VND,numeric__Chênhlệchtỷ giáhối đoáiTriệu VND,numeric__Lợi nhuậnchưaphân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,12.036.161,101.716,(5.260),37.413,1.181.879,596.639,1.022,(49.820),4.607.693,18.507.443,12036161.0,101716.0,-5260.0,37413.0,1181879.0,596639.0,1022.0,-49820.0,4607693.0,18507443.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,2.607.012,2.607.012,,,,,,,,,2607012.0,2607012.0
Phát hành cổ phiếu đề chi trả cổ tức,Phát hành cổ phiếu đề chi trả cổ tức,Phát hành cổ phiếu đề chi trả cổ tức,2.514.370,-,-,-,-,-,-,-,(2.514.370),-,2514370.0,,,,,,,,-2514370.0,
Phát hành cổ phiếu ra công chúngtrong năm,Phát hành cổ phiếu ra công chúngtrong năm,Phát hành cổ phiếu ra công chúngtrong năm,2.959.560,-,-,-,-,-,-,-,-,2.959.560,2959560.0,,,,,,,,,2959560.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,-,6.589,248.984,132.994,-,-,(388.567),-,,,,6589.0,248984.0,132994.0,,,-388567.0,
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(317),-,(993),-,(48.010),11.525,(37.795),,,,-317.0,,-993.0,,-48010.0,11525.0,-37795.0
Số dư tại ngày 31/12/2020(trình bày lại) (*),Số dư tại ngày 31/12/2020(trình bày lại) (*),Số dư tại ngày 31/12/2020(trình bày lại) (*),17.510.091,101.716,(5.260),43.685,1.430.863,728.640,1.022,(97.830),4.323.293,24.036.220,17510091.0,101716.0,-5260.0,43685.0,1430863.0,728640.0,1022.0,-97830.0,4323293.0,24036220.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,5.007.161,5.007.161,,,,,,,,,5007161.0,5007161.0
Phát hành cổ phiếu đề chi trả cổ tức(Thuyết minh 26),Phát hành cổ phiếu đề chi trả cổ tức(Thuyết minh 26),Phát hành cổ phiếu đề chi trả cổ tức(Thuyết minh 26),3.772.060,-,-,-,-,-,-,-,(3.772.060),-,3772060.0,,,,,,,,-3772060.0,
Phát hành cổ phiếu ra công chúngtrong năm,Phát hành cổ phiếu ra công chúngtrong năm,Phát hành cổ phiếu ra công chúngtrong năm,5.391.547,1.347.887,-,-,-,-,-,-,-,6.739.434,5391547.0,1347887.0,,,,,,,,6739434.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(22.413),(22.413),,,,,,,,,-22413.0,-22413.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,5.556,475.655,247.010,-,-,(728.221),-,,,,5556.0,475655.0,247010.0,,,-728221.0,
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(2.820),-,(4.624),-,(195.835),(25.458),(228.737),,,,-2820.0,,-4624.0,,-195835.0,-25458.0,-228737.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(1.715),-,-,1.715,-,,,,,,-1715.0,,,1715.0,
Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,26.673.698,1.449.603,(5.260),46.421,1.906.518,969.311,1.022,(293.665),4.784.017,35.531.665,26673698.0,1449603.0,-5260.0,46421.0,1906518.0,969311.0,1022.0,-293665.0,4784017.0,35531665.0
