row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Năm kết thúc ngày 31 tháng 12 năm 2020","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền BắcTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền TrungTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền NamTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Nước ngoàiTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộngTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền BắcTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền TrungTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Miền NamTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Nước ngoàiTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộngTriệu VND"
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,7.089.560,567.470,1.891.371,384.798,9.933.199,7089560.0,567470.0,1891371.0,384798.0,9933199.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,392.170,24.471,73.260,32.848,522.749,392170.0,24471.0,73260.0,32848.0,522749.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,105.829,2.675,16.316,(107),124.713,105829.0,2675.0,16316.0,-107.0,124713.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,1.289.370,302,3.439,-,1.293.111,1289370.0,302.0,3439.0,,1293111.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,326.102,5.373,15.522,1.573,348.570,326102.0,5373.0,15522.0,1573.0,348570.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",(14.931),-,-,-,(14.931),-14931.0,,,,-14931.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(3.244.917),(275.658),(633.099),(145.515),(4.299.189),-3244917.0,-275658.0,-633099.0,-145515.0,-4299189.0
Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,5.943.183,324.633,1.366.809,273.597,7.908.222,5943183.0,324633.0,1366809.0,273597.0,7908222.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(4.389.051),(64.618),(162.459),(24.094),(4.640.222),-4389051.0,-64618.0,-162459.0,-24094.0,-4640222.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,1.554.132,260.015,1.204.350,249.503,3.268.000,1554132.0,260015.0,1204350.0,249503.0,3268000.0
