row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2021Triệu VND,2020Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2021Triệu VND,numeric__2020Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,,35.606.329(20.035.980),31.287.120(21.353.921),,,,
2,2,2,Chi phí lãi và các chi phí tương tự,,35.606.329(20.035.980),31.287.120(21.353.921),,,,
I,2 > I,I,Thu nhập lãi thuần,27,15.570.349,9.933.199,,27.0,15570349.0,9933199.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,908.741(323.118),749.200(226.451),,,,
4,4,4,Chi phí hoạt động dịch vụ,,908.741(323.118),749.200(226.451),,,,
II,4 > II,II,Lãi thuần từ hoạt động dịch vụ,28,585.623,522.749,,28.0,585623.0,522749.0
III,4 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,143.539,124.713,,29.0,143539.0,124713.0
V,4 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,30,988.410,1.293.111,,30.0,988410.0,1293111.0
5,5,5,Thu nhập từ hoạt động khác,,1.133.849(272.502),452.687(104.117),,,,
6,6,6,Chi phí hoạt động khác,,1.133.849(272.502),452.687(104.117),,,,
VI,6 > VI,VI,Lãi thuần từ hoạt động khác,31,861.347,348.570,,31.0,861347.0,348570.0
VII,6 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",,3.750,(14.931),,,3750.0,-14931.0
VIII,6 > VIII,VIII,Chi phí hoạt động,32,(4.405.941),(4.299.189),,32.0,-4405941.0,-4299189.0
IX,6 > IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,13.747.077,7.908.222,,,13747077.0,7908222.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,,(7.487.035)(7.487.035),(4.640.222)(4.569.270),,,,
X,X > X,X,▪ Chi phí dự phòng tín dụng▪ Trích lập bổ sung dự phòng cho các khoản thuộc Tổng Công ty Công nghiệp Tàu thủy do lợi nhuận thực hiện vượt quá lợi nhuận kế hoạch,33,(7.487.035)(7.487.035),(4.640.222)(4.569.270),,33.0,,
X,X > X,X,▪ Chi phí dự phòng tín dụng▪ Trích lập bổ sung dự phòng cho các khoản thuộc Tổng Công ty Công nghiệp Tàu thủy do lợi nhuận thực hiện vượt quá lợi nhuận kế hoạch,4(c),-,(70.952),,,,-70952.0
XI,X > XI,XI,Tổng lợi nhuận trước thuế(mang sang trang sau),,6.260.042,3.268.000,,,6260042.0,3268000.0
