row_label_raw,row_label_full,Tín dụngTriệu VND,Đầu tưTriệu VND,Dịch vụTriệu VND,Kinh doanh vàhuy động vốnTriệu VND,Tổng cộngTriệu VND,numeric__Đầu tưTriệu VND,numeric__Dịch vụTriệu VND,numeric__Kinh doanh vàhuy động vốnTriệu VND,numeric__Tổng cộngTriệu VND
32.914.468,32.914.468,32.914.468,3.269.853,1.277.783,1.322.514,38.784.618,3269853.0,1277783.0,1322514.0,38784618.0
371.235.367,371.235.367,371.235.367,28.091.484,234.814,70.639.900,470.201.565,28091484.0,234814.0,70639900.0,470201565.0
21.608.389,21.608.389,21.608.389,67.526,14.505.854,220.994,36.402.763,67526.0,14505854.0,220994.0,36402763.0
392.843.756,392.843.756,392.843.756,28.159.010,14.740.668,70.860.894,506.604.328,28159010.0,14740668.0,70860894.0,506604328.0
(718.706),(718.706),(718.706),-,(79.356),(465.322.722),(466.120.784),,-79356.0,-465322722.0,-466120784.0
(2.939.396),(2.939.396),(2.939.396),(9.185),(1.973.236),(30.062),(4.951.879),-9185.0,-1973236.0,-30062.0,-4951879.0
(3.658.102),(3.658.102),(3.658.102),(9.185),(2.052.592),(465.352.784),(471.072.663),-9185.0,-2052592.0,-465352784.0,-471072663.0
29.549.676,29.549.676,29.549.676,2.954.710,582.914,804.600,33.891.900,2954710.0,582914.0,804600.0,33891900.0
309.476.991,309.476.991,309.476.991,29.443.602,242.746,47.408.108,386.571.447,29443602.0,242746.0,47408108.0,386571447.0
15.624.871,15.624.871,15.624.871,47.848,10.278.831,156.596,26.108.146,47848.0,10278831.0,156596.0,26108146.0
325.101.862,325.101.862,325.101.862,29.491.450,10.521.577,47.564.704,412.679.593,29491450.0,10521577.0,47564704.0,412679593.0
(534.475),(534.475),(534.475),-,(930.983),(385.826.781),(387.292.239),,-930983.0,-385826781.0,-387292239.0
(808.611),(808.611),(808.611),(2.476),(531.943),(8.104),(1.351.134),-2476.0,-531943.0,-8104.0,-1351134.0
(1.343.086),(1.343.086),(1.343.086),(2.476),(1.462.926),(385.834.885),(388.643.373),-2476.0,-1462926.0,-385834885.0,-388643373.0
