row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.280.834,278.157,31.244,4.590.235,4280834.0,278157.0,31244.0,4590235.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6,21.316,-,21.322,6.0,21316.0,,21322.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.214),-,(1.214),,-1214.0,,-1214.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,-,16.492,(2.949),13.543,,16492.0,-2949.0,13543.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(239),(297),(536),,-239.0,-297.0,-536.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.280.840,314.512,27.998,4.623.350,4280840.0,314512.0,27998.0,4623350.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.121,245.851,19.091,271.063,6121.0,245851.0,19091.0,271063.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,10.678,1.580,12.416,158.0,10678.0,1580.0,12416.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.139),-,(1.139),,-1139.0,,-1139.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,-,8.594,(123),8.471,,8594.0,-123.0,8471.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(240),(298),(538),,-240.0,-298.0,-538.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.279,263.744,20.250,290.273,6279.0,263744.0,20250.0,290273.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.274.713,32.306,12.153,4.319.172,4274713.0,32306.0,12153.0,4319172.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.274.561,50.768,7.748,4.333.077,4274561.0,50768.0,7748.0,4333077.0
