row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020(Tương đương Triệu VND),USD,EUR,Tiền tệ khác,Tổng cộng,numeric__USD,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,464.163,31.448,15.733,511.344,464163.0,31448.0,15733.0,511344.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,5.691.656,568,154.836,5.847.060,5691656.0,568.0,154836.0,5847060.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,10.873.979,178.840,134.667,11.187.486,10873979.0,178840.0,134667.0,11187486.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(3.586.655),1.420,(19.659),(3.604.894),-3586655.0,1420.0,-19659.0,-3604894.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,9.870.061,1.890.270,2.167.621,13.927.952,9870061.0,1890270.0,2167621.0,13927952.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,8.586,-,4.720,13.306,8586.0,,4720.0,13306.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,13.799.264,319,62.558,13.862.141,13799264.0,319.0,62558.0,13862141.0
,,,37.121.054,2.102.865,2.520.476,41.744.395,37121054.0,2102865.0,2520476.0,41744395.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,21.547.490,5,245.009,21.792.504,21547490.0,5.0,245009.0,21792504.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,11.342.445,219.361,634.248,12.196.054,11342445.0,219361.0,634248.0,12196054.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",462.400,1.890.270,-,2.352.670,462400.0,1890270.0,,2352670.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,4.146.962,15.903,52.913,4.215.778,4146962.0,15903.0,52913.0,4215778.0
,,,37.499.297,2.125.539,932.170,40.557.006,37499297.0,2125539.0,932170.0,40557006.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(378.243),(22.674),1.588.306,1.187.389,-378243.0,-22674.0,1588306.0,1187389.0
